,0,1,2,3,4,5
0,Cloud/DevOps Architect (Apigee),Publicis Groupe,3.7,"Toronto, ON","Posted
Posted 3 days ago","Company Description
Publicis Sapient is a digital transformation partner helping established organizations get to their future, digitally-enabled state, both in the way they work and the way they serve their customers. We help unlock value through a start-up mindset and modern methods, fusing strategy, consulting and customer experience with agile engineering and problem-solving creativity. United by our core values and our purpose of helping people thrive in the brave pursuit of next, our 20,000+ people in 53 offices around the world combine experience across technology, data sciences, consulting and customer obsession to accelerate our clients’ businesses through designing the products and services their customers truly value.
Job Description
As a DevOps Architect you will be a part of a smart cross-functional team delivering digital business transformation solutions to our clients. You’ll have the unique opportunity to increase the engineering team productivity by hunting and solving opportunities within the products of some of the world’s largest brands. You’ll be instrumental in helping our engineering teams to deliver customer features faster by identifying opportunities to automate.
Qualifications
Your Skills & Experience:
Hands-on experience with Terraform.
Experience in setting up continuous integration of source code pipelines using Bitbucket, Jenkins, Terraform, and continuous deployment pipelines using Artifactory and Spinnaker.
Experience with Google Cloud Platform.
Experience using Docker.
Strong experience in setting and running Apigee Hybrid infrastructure, on premise installation.
Good understanding of Cassandra and Zookeeper.
Experience with high availability, load balancing and failover configurations with Apigee.
Ability to apply security, throttling, OAuth 2.0, TLS, certificates, KeyStore, and Trust store for the Apigee platform.
Expertise in configuring the Apigee Private Cloud platform, including keystores, truststores, and KVMs.
Experience with Apigee Management APIs and integrations with enterprise systems including Infrastructure & Application monitoring, SAML or LDAP SSO, and Logging.
Have previously worked on an enterprise platform team that supports multiple Software Development product teams.
Capacity Planning and Management activities to ensure that the Apigee platform will be able to scale as per the additional transactions needs in the future.
Hands-on Python and Unix shell scripting is required.
Knowledge of REST API design, API first development, and OpenAPI specifications.
Good to have certification in Apigee.
Deployment of the Apigee Management plane in GCP
End to end Delivery of Implementation and deployment of Apigee Management plane in GCP
Perform hands-on deployment of solutions into Customer’s GCP production environment
Develop automation code for Apigee Hybrid environment
Provide SME to support Production cloud environments and/or tooling including Openshift, GCP & EKS
Additional Information
Benefits of Working Here:
Eligible for 3 weeks PTO
14 paid holidays throughout the year
Generous parental leave and new parent transition program
Tuition reimbursement
Corporate gift matching program
As part of our dedication to an inclusive and diverse workforce, Publicis Sapient is committed to Equal Employment Opportunity without regard for race, color, national origin, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity, or religion. We are also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or accommodation due to a disability, you may contact us at hiring@publicissapient.com or you may call us at +1-617-621-0200."
1,Cloud/DevOps Architect (Apigee),Publicis Sapient,3.9,"Toronto, ON","Posted
Posted 11 days ago","Company Description

Publicis Sapient is a digital transformation partner helping established organizations get to their future, digitally-enabled state, both in the way they work and the way they serve their customers. We help unlock value through a start-up mindset and modern methods, fusing strategy, consulting and customer experience with agile engineering and problem-solving creativity. United by our core values and our purpose of helping people thrive in the brave pursuit of next, our 20,000+ people in 53 offices around the world combine experience across technology, data sciences, consulting and customer obsession to accelerate our clients’ businesses through designing the products and services their customers truly value.

Job Description

As a DevOps Architect you will be a part of a smart cross-functional team delivering digital business transformation solutions to our clients. You’ll have the unique opportunity to increase the engineering team productivity by hunting and solving opportunities within the products of some of the world’s largest brands. You’ll be instrumental in helping our engineering teams to deliver customer features faster by identifying opportunities to automate.

Qualifications

Your Skills & Experience:
Hands-on experience with Terraform.
Experience in setting up continuous integration of source code pipelines using Bitbucket, Jenkins, Terraform, and continuous deployment pipelines using Artifactory and Spinnaker.
Experience with Google Cloud Platform.
Experience using Docker.
Strong experience in setting and running Apigee Hybrid infrastructure, on premise installation.
Good understanding of Cassandra and Zookeeper.
Experience with high availability, load balancing and failover configurations with Apigee.
Ability to apply security, throttling, OAuth 2.0, TLS, certificates, KeyStore, and Trust store for the Apigee platform.
Expertise in configuring the Apigee Private Cloud platform, including keystores, truststores, and KVMs.
Experience with Apigee Management APIs and integrations with enterprise systems including Infrastructure & Application monitoring, SAML or LDAP SSO, and Logging.
Have previously worked on an enterprise platform team that supports multiple Software Development product teams.
Capacity Planning and Management activities to ensure that the Apigee platform will be able to scale as per the additional transactions needs in the future.
Hands-on Python and Unix shell scripting is required.
Knowledge of REST API design, API first development, and OpenAPI specifications.
Good to have certification in Apigee.
Deployment of the Apigee Management plane in GCP
End to end Delivery of Implementation and deployment of Apigee Management plane in GCP
Perform hands-on deployment of solutions into Customer’s GCP production environment
Develop automation code for Apigee Hybrid environment
Provide SME to support Production cloud environments and/or tooling including Openshift, GCP & EKS

Additional Information

Benefits of Working Here:
Eligible for 3 weeks PTO
14 paid holidays throughout the year
Generous parental leave and new parent transition program
Tuition reimbursement
Corporate gift matching program
As part of our dedication to an inclusive and diverse workforce, Publicis Sapient is committed to Equal Employment Opportunity without regard for race, color, national origin, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity, or religion. We are also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or accommodation due to a disability, you may contact us at hiring@publicissapient.com or you may call us at +1-617-621-0200."
2,Cloud Solution Architect (Remote),Software International,404,"Remote in Mississauga, ON","Posted
Posted 30+ days ago","Our client is a world wide, Fortune 500 telecom vendor working across technologies such as 5G, Cloud, Networking and much more. with Canada's top Telecom firms. They are currently seeking to add a Solutions Architect - Security & Cloud to their team for a long term, potentially multi-year contract.

Lead the team on NFR (Non Functional Requirements) situations and make best cloud practice recommendations to achieve top NFRs
Lead the team on Information Security awareness/ compliance (e.g. iso 27001)
lead the team on authentication/authorization protocols and models such as (RBAC/ABAC/OIDC/OAUTH/SAML/SSO)
Experienced with Cloud application solutioning (IBM private, AWS, Azure etc)
Architect DevOps factories
Lead the team to and explain the rationale behind choosing databases, api services, containerization and other. The goal is to have an architect explain why you would implement xyz tool from a business requirement point of view.
Guide team and explain the benefits of cloud native architecture (microservices) vs monoliths, Pro’s & con’s, why people move to cloud native, benefits.
Understanding of the benefits of public/private/hybrid cloud and how to leverage cloud native design in these types of architectures.
Stakeholder management: need to interface Product Owners, developers and different stakeholders and align architectural vision and business requirements
Drive and document studies
Create network diagrams, Technical Product Documentation, HLD

Good communication skills (in English)
Have a good background with Networking/firewall
Understanding of SDLC
Leadership – self driven and able to tie people together
Good negotiation skills
Good problem solving skills
Able to make fact based decisions"
3,Azure Cloud Architect (Remote),Open Systems AG,404,"Remote in Toronto, ON","Posted
Posted 1 day ago","About Open Systems
Open Systems delivers cybersecurity beyond expectations. We partner with organizations to boost the security performance of their digital transformations. Our award-winning Managed Detection and Response (MDR) and Secure Access Service Edge (SASE) services connect and protect customers today, while increasing their security maturity for tomorrow.

Open Systems’ Mission Control SOCs and NOCs are staffed by certified, outcome-obsessed engineers who provide 24x7 global coverage. They leverage a platform backed by data science and years of finetuning complex processes to better understand and reduce attack surfaces. Our deep expertise as a 5-time Microsoft Gold Partner accelerates and simplifies the path to security maturity by unlocking the value of existing investments in Microsoft security tools.

Deployed in nearly 10,000 locations across 184 countries, Open Systems has earned an out of this world 97% retention rate. No wonder our customers call it crazy good cybersecurity.

Discover more at www.open-systems.com.

Currently, we are looking for an

Azure Cloud Architect

Your Mission

Join our enthusiastic feature team of engineers and face the challenge to bring the threat detection and response platform of Open Systems to the next level. As an Azure Architect in the Managed Detection and Response team, you will use your knowledge and experience to architect and build modern
solutions on the Azure platform. You will be part of a crazy good cybersecurity solution.

As an Azure Cloud Architect for Open Systems, you will be responsible for:

Architecting Microsoft Azure Solutions across multiple platforms
Building governance and security around the Azure platform and how it fits into the solutions.
Designing Identity and Access management with Azure AD and Azure resources
Providing Microsoft Azure architecture collaboration with other technical
Designing and building observability platform using modern monitoring and management tools
Documentation of solutions (e.g. architecture, configuration and setup).
Working within a project management/agile delivery methodology in a leading role as part of a wider team.
Provide effective knowledge transfer and up skilling to relevant customer personnel to ensure an appropriate level of future self-sufficiency.
Implementation and Delivery of Microsoft Azure projects

Your Qualifications
Direct experience with range services from the Microsoft Azure Cloud Platform including Infrastructure and Security related services such as Azure AD, IaaS, Containers, Storage, Networking and Azure Security.
Direct experience of enterprise solution shaping and Microsoft Azure Cloud architecture development including excellent documentation skills.
Familiarity with Azure Architecture and design patterns.
Experience with designing event driven and microservices architecture using Azure native solutions.
Deep technical experience in cloud application solutions and building resilient, scalable multi-site/region architectures.
Experience with developing and consuming scalable APIs.
Demonstrated ability to write detailed (functional spec level) architectural designs.
Advise teams on appropriate Azure services selection.
Experience with setting up, deploying and managing multiple environments to support agile development approaches.
Experience around building the monitoring, alerting and notification solutions for Azure platform with tools like Azure Log Analytics and Sentinel.
Experience with establishing proactive monitoring and alerting capabilities for all components of the platform.
Deep understanding of coding best practices and modern architectural patterns, including micro services and message-driven architectures
Recent hands-on experience with DevOps toolset like GitHub Enterprise.
Experienced in the design and delivery of enterprise level Highly Available solutions.
Establishing system health and capacity so it can be reviewed and enhanced as needed.
Possesses familiarity with configuration management across a multi-platform estate such as Ansible, Puppet, Terraform, or ARM Templates.
Flexibility and willingness to carry out different roles, can work independently, self-motivated and problem solver.
Flexibility on working with teams with different time zones outside US.

Bonus Skills
Azure Solution Architects certification e.g. AZ – 303, AZ – 304 preferred
Knowledge of Security Operations, architecting and building security solutions like EDR, MDR, XDR a plus
Familiarity with high availability orchestration engines like Temporal and rapid development tools such as streampipe is an added plus
Problem-solving mentality leveraging internal and/or external resources
Familiarity with the agile secure lifecycle and threat modeling
Experience with AWS and GCP
Experience with development languages like Go, Python, .Net core etc

This is a remote position and can be located anywhere in Canada.

What We Offer

Want to join a crazy good cybersecurity team? You’ll be among people who believe in:

Caring PASSIONATELY about keeping our customers safe – We’re dedicated to solving problems. Whatever it takes.

Thinking UNCONVENTIONALLY to stay ahead – The world never fails to surprise us. So let’s surprise it first.

Doing the hard work to make things SIMPLE – Craft and hone something that delights in its simplicity.

Working COLLABORATIVELY to build success – The power of the team will always make us faster and better.

As a testament to this, Open Systems has been recognized as an outstanding place to work. You’ll be surrounded by smart teams who enrich your experience and provide opportunities you will need to develop your skills and advance your career.

Come as you are! We search for amazing people of diverse backgrounds, experiences, abilities, and perspectives. Open Systems welcomes and encourages diversity in the workplace regardless of race, gender, religion, age, sexual orientation, disability, or veteran status. Only direct applications will be considered!

#LI-BV1"
4,Entry Level - Solution Architect,IBM Canada,3.9,"Markham, ON","Posted
Posted 3 days ago","Introduction

At IBM, we know that transformation drives change, and it is in our DNA to continuously transform. Our IBM Expert Labs organization helps drive large scale change that spans IBM business units and geographies. As a part of this team, you will have the unique opportunity to be a part of driving IBM’s ongoing transformation as a company that continuously innovates and leads the market.
At IBM Expert Labs, we help our clients plan, prove, adopt, and scale IBM technologies to achieve business results.

Your Role and Responsibilities

Do you have a passion for solving complex business problems with the latest Solution Architect methodologies, tools, and techniques? Are you passionate about working with architecture of innovative technology solutions and leading other talented professionals while honing your expertise? IBM Expert Labs is looking for talented individuals to accelerate the adoption of the IBM Data & AI and Automation Solutions by specializing in the architecture and capabilities of Intelligent asset management, monitoring, predictive maintenance and reliability on IBM Cloud, Amazon, Azure, or Google public clouds. The IBM Expert Labs Solution Architect is a person who can design, plan and architect an IBM Data & AI and / or Automation solution.
As an IBM Expert Labs Solution Architect, you will recommend and leverage needed technologies, architectures, integrated solutions, and tooling to enable the sales and services delivery teams across the organization.
Who you are:
You have the ability to communicate complex situations clearly and simply by listening actively and conveying difficult messages in a positive manner.
You understand the value of innovation and are quick to develop new ideas and initiatives that improve the performance of the organization.
You demonstrate leadership experience and are adaptable, willing to readily take ownership of tasks and problems which often extend beyond initial scope of responsibility.
You have the ability to evaluate customers current state and architect an IBM Data & AI and / or Automation solution, taking into account current (and future) business problems
You are experienced interfacing directly with customers in face to face and/or remote engagements
You are able to migrate solutions from competitor cloud platforms using IBM & third-party products and tooling.
You provide leadership to successfully migrate customers using both “lift and shift” models as well as application transformation to microservices.
You provide infrastructure recommendations based on current industry best practices, and propose deployment options


Required Technical and Professional Expertise
Basic understanding of Hybrid Cloud Strategies (IBM Cloud, AWS, Azure, etc.).
Basic understanding of Networks and DevOps
Basic understanding of Artificial Intelligence (AI)
Interest in RedHat OpenShift and containerization
Strong communication skills, tools and techniques; ability to effectively transmit, receive, and accurately interpret ideas, information, and needs.
Can work on multiple tasks concurrently and meet deadlines, while maintaining focus in an environment with conflicting demands.
Demonstrate strong interpersonal skills with ability to collaborate and work effectively in an intense team environment, able to build direct working relationships across all levels of IBM and the client teams.


Preferred Technical and Professional Expertise
1-3 years of experience in an Architect role
Experience creating highly available applications solutions across multiple platforms containers (RedHat OpenShift/Kubernetes and supporting products).
Demonstrate knowledge of IBM Data & AI and / or Automation concepts and architectural principles
Demonstrate knowledge of authentication options
Demonstrate knowledge of IBM Data & AI and / or Automation product configuration capabilities, including applications, workflows, database and automation scripting

Key Job Details Country/Region:CA State:ONTARIO City:Markham Category:Architect Required Education:Bachelor's Degree Position Type:Entry Level Employment Type:Full-Time Contract Type:Regular Company:(0026) IBM Canada Limited – IBM Canada Limitee Req ID:597779BR Travel Required:Up to 40% or 2 days a week (home on weekends- based on project requirements)"
5,AWS Cloud Architect,Sanofi US,4.1,"Toronto, ON","Posted
Posted 23 days ago","The AWS Cloud Architect develops innovative solutions and technology strategy around Cloud landscape.
They own the E2E solution design across technologies in an Hybrid environment : on-Prem/AWS
Responsibilities:
Owns solution design for cross domain initiatives and works across domains to ensure cohesive solution.
Reviews and identifies the gaps in the architecture and solution designs, assesses and defines remediation efforts or mitigation options.
Drives to practical solutions considering all teams, initiatives and long-term outlook.
Drives the overall technical design and end-to-end solution design for assigned initiatives.
Ensures quality, consistency and alignment of designs to organization’s standards and digital strategy.
Drives large cross domain initiatives that are supported by E2E Design, applies digital standards to project Solution Architecture, drives Technical Strategy and architectural tradeoff discussions
Minimum Education Qualification:
Master's Degree in Software Engineering and/or Bachelors Degree in Computer Systems Engineering
AWS Certification: Solution Architect Professional (preferred), Solution Architect Associated
Work Experience Qualification:
Design of AWS architecture for cloud native applications (PAAS)
Design of AWS architecture at scale (size like Sanofi)
Define architecture blueprints and standards
Collaborate with applications team to transform their application to AWS
Very good understanding of AWS Landing Zone with more than 200 AWS accounts
Good knowledge of on-prem architectures
IOT experience is a plus
As a healthcare company and a vaccine manufacturer, Sanofi has an important responsibility to protect individual and public health. All US based roles require individuals to be fully vaccinated against COVID-19 as part of your job responsibilities.
Fully vaccinated, according to the CDC, an individual is considered to be “fully vaccinated” fourteen (14) days after receiving (a) the second dose of the Moderna or Pfizer vaccine, or (b) the single dose of the J&J vaccine. Fully vaccinated, for new Sanofi employees, is to be fully vaccinated 14 DAYS PRIOR TO START DATE.
Sanofi Inc. and its U.S. affiliates are Equal Opportunity and Affirmative Action employers committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race; color; creed; religion; national origin; age; ancestry; nationality; marital, domestic partnership or civil union status; sex, gender, gender identity or expression; affectional or sexual orientation; disability; veteran or military status or liability for military status; domestic violence victim status; atypical cellular or blood trait; genetic information (including the refusal to submit to genetic testing) or any other characteristic protected by law.
#GD-SA
#LI-SA
At Sanofi diversity and inclusion is foundational to how we operate and embedded in our Core Values. We recognize to truly tap into the richness diversity brings we must lead with inclusion and have a workplace where those differences can thrive and be leveraged to empower the lives of our colleagues, patients and customers. We respect and celebrate the diversity of our people, their backgrounds and experiences and provide equal opportunity for all."
6,Entry Level - Project Manager Assistant,IBM,3.9,"Markham, ON","Posted
Posted 3 days ago","Introduction
At IBM, our Project Managers excel by leading and coordinating a project team’s overall performance, scope, cost, and deliverables. Our clients rely on timely and efficient status reports, and as a Project Manager Assistant, you will drive the charge with project direction, metric definition, and performance management.

The IBM Expert Labs practice contains Architects, Product Specialists and Project Managers with deep product skills that can help accelerate a client journey to maximize the value of a software implementation. The engagement sizes range from strategy and quick start deployments to First of a Kind (FOAK) implementations.

If you are ready to help our clients and project teams succeed, we would love to meet you!

Your Role and Responsibilities
The primary responsibility of the Project Manager Assistant (PMA) is to provide administration for IBM’s contractual responsibilities. This includes working with IBMers as well as third-party vendors. In this role, PMA will be responsible to provide project management support to review the Statement of Work (SOW) and the contractual responsibilities of both parties with the client.

The PMA works tasks independently but keeps the Project Manager and leadership promptly apprised of work status, raising issues of risk to the appropriate level with oversight from a Project Manager. In small projects, the PMA is responsible for the overall project plan, budget, structure, and schedule for the delivery organization.

Primary Job responsibilities
Work with Project Managers to provide a framework to Cloud and Cognitive Software (C&CS) Expert Labs project teams
Coordinate and manage the activities of project personnel
Create Project Management deliverables
Maintain project communications with the client
Create regular status reports
Conduct regular status meetings with clients and project stakeholders
Provide monthly financial forecasts to Project Managers
Keep management cadence with the Project Manager and Delivery Leaders to provide insight on project status
Develop knowledge of C&CS Expert Labs offerings with awareness on emerging technologies and solutions
Administer the contract change control procedure with the client
Review the SOW and the contractual responsibilities of both parties with your Project Manager
Ensure Project Health is updated and maintained internally
Provide Forecasting on projects you own
Ensure Project Burn Rate is maintained and accurate
Report utilization of project billing
Perform Invoice reconciliation
Perform monthly financial forecasting
Perform resource onboarding and tracking
Manage the Project Control Book and Project Repository
Administer the Project Change Control Procedure for SOW changes

Required Technical and Professional Expertise
Ability to participate in a virtual office setting and maintain an active and dynamic presence via phone and email
Have initiative to actively seek new knowledge and improve skills
Knowledge of effective self-management practices; ability to manage multiple concurrent objectives, projects, groups, or activities, making effective judgements as to prioritizing and time allocation
Knowledge of approaches, tools, techniques for recognizing, anticipating, and resolving organizational, operational or process problems; ability to apply this knowledge appropriately to diverse situations
Understanding of effective communication concepts, tools and techniques; ability to effectively transmit, receive, and accurately interpret ideas, information, and needs through the application of appropriate communication behaviors
Understanding of customer service, relationship management, and facilitation skills
Solid personal leadership and management skills with a collaborative style
Demonstrate leadership experience and ability to adapt, with willingness to readily take ownership of tasks and problems, which often extend beyond initial scope of responsibility

Preferred Technical and Professional Expertise
Familiarity and experience with software development processes
Familiarity and experience with project management processes and techniques
Experience with Microsoft Office Tools including MS Project, MS Word, MS PowerPoint and MS Excel
Project Management Certification (e.g. PMP) is an asset
Internship or work experience in corporate setting with demonstrated track record

About Business Unit
IBM’s Cloud and Cognitive software business is committed to bringing the power of IBM’s Cloud and Watson/AI technologies to life for our clients and ecosystem partners around the world. IBM provides you with the most comprehensive and consistent approach to development, security and operations across hybrid environments—with complete software solutions for business and IT operations, development, data science, security, and management. Our experts and software capabilities help organizations develop applications once and deploy them anywhere, integrate security across the breadth of their IT estate, and automate operations with management visibility. With IBM, you also have access to new skills and methods, governance and management approaches, and a deep ecosystem of industry experts and partners.

Your Life @ IBM
Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities. Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone. It's time to define your career.

About IBM
IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world. Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement
Must have the ability to work in Canada without sponsorship.

This role will involve working with technology that is covered by Export Regulations sanctions. If you are a Foreign National from any of the following US sanctioned countries (Cuba, Iran, North Korea, Syria, and the Crimea, Luhansk and Donetsk regions of Ukraine) on a work permit, you are not eligible for employment in this position.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
7,Cloud Architect - Tangerine,Scotiabank,3.9,"North York, ON","Posted
Just posted","Requisition ID: 159791
Tangerine is Canada’s leading direct bank. We offer flexible and accessible banking options, innovative products, and award-winning Client service. The reason why Tangerine employees come to work each day is to help Canadians live better lives. We focus on making a difference in our communities, and that includes our own internal community. It’s important to us that our employees feel empowered and enthusiastic about belonging to our Orange culture.

ROLE PURPOSE:
Tangerine has embarked on the journey to modernize development practices, tools, and runtime environments. One of the main areas of transformation is the adoption of public Cloud and the various platform technologies that support both development and operations on the cloud.
The Cloud Architect will be part of the Cloud Platform/Enterprise Architecture team, responsible for the Cloud adoption strategy and for creating platform components and services for the broad enterprise use (infrastructure and application teams).

ROLE ACCOUNTABILITIES:
Establish mid and long-term vision, strategy, and roadmaps for the Cloud platform capabilities required by Tangerine.
Define Reference Architecture
Clearly communicate the vision and technology roadmap to various team and stakeholders.
Develop, document, and maintain cloud platforms, services and components to enable safe enterprise-wide use of cloud common functionality.
Work with Cloud providers to identify new technologies, and to support the evolution and availability of the services enabled in the platform.
Develop software/pipelines for enabling and automating provisioning and maintenance of cloud platform and related components.
Design and implement Infrastructure as Code.
Work with other engineers and architects on breaking-down, scoping, and estimating tasks.
Participate in planning, retrospective sessions, attending stand-ups, etc.
Design and build highly available and scalable infrastructure, as example, Kubernetes.
Support application and infrastructure teams on the use of cloud platform including providing guidance on available options, design patterns, best practices, and security considerations.
Enable controls and practices to enforce that applications will meet non-functional requirements, as high availability, integrity, reliability, disaster recovery and optimal cost.
Define and facilitate architectural and other governance process activities in line with Application Development Lifecycle and Quality Assurance steps.
Mentor and coach others within assigned area.

MINIMUM QUALIFICATIONS:
Bachelor (equivalent or higher) degree in computer science or engineering/mathematics discipline.
Enthusiasm for cloud transformation and cloud platform/components/services development.
Strong development experience and breadth of language and framework experience.
Strong understanding of software development life cycle as well as related technologies.
Understanding of software release process (environments, binary repositories, CI/CD) is required.
Strong understanding of cloud infrastructure and/or networking is required.
Experience developing and deploying cloud infrastructure is required.
In-depth knowledge of software architecture, design patterns, and security considerations.
Expertise in cloud platform features and capabilities is required.
Proven experience in Google GCP is strong benefit.
Writing and maintaining related documentation
Competent in:
o Kubernetes (Ideally GKE)
o Java / Spring Framework
o Security technologies and concepts
o High availability systems design
o Performance Tuning
o Web APIs
o Microservices architecture
o DevOps concepts
o Terraform or similar IaC technologies
o Open source technologies
o Linux
Location(s): Canada : Ontario : North York
At Tangerine we value the unique skills and experiences each individual brings to the team, and are committed to creating and maintaining an inclusive and accessible environment. If you require accommodation during the recruitment and selection process, please let our Recruitment team know."
8,Cloud Architect - Azure & Office 365 (Remote),Jolera,3.1,"Remote in Toronto, ON","Posted
Posted 30+ days ago","Jolera Inc. is a multinational technology hybrid aggregate service provider (HASP) focused on delivering IT solutions As-a-Service for its customers and channel partners. We are Canadian-based with more than 18 years of experience in the industry.
We know that IT solutions require more than just technology – they need skilled people behind them. That is why we assembled a great team of experts who are committed to finding the best solutions for your needs. Our people are focused, client-driven, and passionate about connecting users with technology.
About the role
The primary role of the Microsoft Cloud Engineer/Architect – Azure & O365 will be to grow our mid-market technology services practice.
The Cloud Engineer/Architect – Azure & O365 is primarily responsible for the implementation of public, private, and hybrid cloud technologies. Typical responsibilities for this position include the design and implementation of Office 365, Exchange Online, and Azure.
Responsibilities:
Assess, architect, design, implement and troubleshoot complex enterprise solutions around Microsoft public, private, and hybrid clouds.
Serve as the expert in Azure Infrastructure as a service (IaaS), Azure Platform as a service (PaaS), Azure Analysis Services, Azure Site Recovery, Office 365, Azure AD, and High availability
Recommend, implement and maintain secure environments running in Azure using industry-accepted standards (MFA, Azure Firewall, Intune, etc.)
Provide support, migrations, optimizations, and deployments for a wide range of Microsoft Azure/Office365, SQL, Microsoft 365 technologies, Azure Virtual Machines (VM), RDS server setup, management, and maintenance.
Act as a subject matter expert/Tier III support for the operations team as it pertains to the Microsoft landscape.
Assist in the development and perform the deployment of policies and other best practice configurations using Microsoft Office 365 Security Center and related components.
Troubleshoot moderate to complex issues across the breadth of the O365 solution.
Design, Plan and Execute Office 365 migrations including Exchange Online, OneDrive, SharePoint Online, and Skype/MS Teams
Design and plan for Identity Management (ADFS, Azure, Other) and Directory Sync supporting O365 workloads
Stay current on Office 365 features and capabilities including availability, reliability, performance, monitoring, backup, and security
Requirements:
5+ years experience in infrastructure support, design, and or implementation of Microsoft or similar technologies.
3+ years of professional experience planning, architecting, configuring, and deploying to Azure.
In-depth knowledge of Microsoft core platform technologies based on Windows Server.
Experience and working knowledge with Microsoft Azure Infrastructure as a Service platform, including planning, configuration, optimization, and deployment.
Working knowledge of supporting IT infrastructure technologies such as networking, storage, and security.
Expert in DNS, Active Directory, Intune, Azure Active Directory, Exchange Online, SharePoint, Teams infrastructures and how they integrate with the larger Microsoft collaboration platform.
Expert in managing Microsoft Active Directory / AD Federated Services, Azure AD.
Expert in defining and implementing security best practices for Azure, MDM, and Office 365 (Multi-Factor Authentication, DKIM, Advanced Threat Protection)
Significant hands-on experience in administering large O365 (Office, Exchange, SharePoint, MS Teams, Azure AD, Intune), Exchange hybrid environments
Strong Knowledge of Office 365 support technologies including but not limited to, Active Directory, DirSync, Active Directory Federation Services (ADFS), Azure Active Directory, Conditional Access Policies
Implementation-level knowledge of Microsoft Infrastructure including Active Directory, Azure AD, Azure SSO, and MFA
Remain current on Microsoft solutions including Active Directory, Office 365, Azure, SCCM, and Windows servers.
Expert knowledge of Powershell.
Detail-Oriented and Organized
Ability to prioritize multiple activities and tasks
Job Type: Full-time"
9,Cloud Architect,SHGT,404,"Toronto, ON","Employer
Active 5 days ago","Job Description :
Architect Cloud native/Hybrid cloud infrastructure solutions for CAC
Architect CI/CD solutions for various use cases and technologies
Help recruit/mentor DevOps and Cloud Engineers for CAC
Engage with Production Engineering in the design and implementation of the AWS infrastructure
Develop cloud security strategy and drive the adoption of new technologies for CAC
Engage with Architect teams to align on AWS Well-Architected framework during the design phase to deliver high-performing, resilient, and efficient infrastructure for various applications and workloads
Contribute towards operational budgets and estimates for new/existing solutions
Produce, update and endorse architectural design patterns, documentation, standards, guidelines and procedures
Qualifications:
12+ years of total experience
At least 5-7 years’ experience as a Cloud Architect
Strong experience with PowerShell, Bash, Python, Perl scripting language to automate operational tasks
Strong experience with .NET/.NET Core software build and release tools using Docker, GitHub Actions and Octopus Deploy
Experience with Linux Server administration
Experience with IaC using AWS Cloud formation or Terraform, AWS CDK
Experience with Infrastructure monitoring tools like Splunk, New Relic, Nagios etc.
Experience with GitHub Enterprise (GitHub Actions, Webhooks, branches etc)
Experience with Windows Server Administration (IIS/AD/DNS/MSSQL/OracleRDS)
Networking Knowledge, VPC, NAT, TCP/IP, DNS, DHCP.
Experience with Artifactory and NuGet package management
Experience with application Server platforms (.Net, IIS, ASP.NET)
Excellent written communication, problem solving, and process management skills
Thanx and regards
Pinky
Job Type: Full-time
Salary: $80.00-$85.00 per hour
Schedule:
8 hour shift"
