Title,Description
Data Analyst,"Job Summary:
The Data Analyst will be responsible for supporting the data and reporting needs of the Brokerage. This role will involve interacting with internal stakeholders for business problem formulation, requirements gathering, identifying relevant data sources or sub-processes in which to deploy new KPIs, communicating new data extract requirements, analyzing and synthesizing data from multiple sources, and ultimately producing high-quality insights that demonstrate a full narrative. This role requires a significant amount of collaboration. The successful person will be highly adaptable and able to prioritize multiple critical projects.
We are dedicated to building a diverse, inclusive, and authentic workplace.
Position Overview:
Advanced skills in data analysis and profiling, data mapping, data modeling, data lakes, and analytics
Data Analytics: AWS Quicksight and Redshift
Data Migration: solid in SQL and ETL
Scripting and Integration: REST APIs, GraphQL, Nodejs, AWS Lambda/API Gateway
Detailed Duties:
Applies scripting/programming skills to assemble various types of source data (unstructured, semi-structured, and structured) into well-prepared datasets with multiple levels of granularities (e.g., demographics, customers, products, transactions).
Lead the development of standard and customized reporting, dashboards, and analysis of information
Lead the development of tools, methodologies, and statistical models.
Provide hands-on development and support in creating and launchingvarious tools and reporting methods.
Develops analytical solutions and makes recommendations based on an understanding of the business strategy and stakeholder needs.
Works with various data owners to discover and select available data from internal sources to fulfill analytical needs.
Summarizes statistical findings and draws conclusions, presents actionable business recommendations. Presents findings & recommendations in a simple, clear way to drive action.
Uses the appropriate algorithms to discover patterns.
Works independently on a range of complex tasks, which may include unique situations.
Job Requirments:
Education, Certification:
Post Secondary Degree â€“ Computer Science, Information Technology or other relevant degrees with curriculum related to data structures and analysis
Minimum 5 years of experience as an analyst
Minimum 5 years of knowledge of business intelligence tools and programming languages
Advanced skills in data analysis and profiling, data mapping, data modeling, data lakes, and analytics
Data Analytics: AWS Quicksight and Redshift
Data Migration: solid in SQL and ETL
Scripting and Integration: REST APIs, GraphQL, Nodejs, AWS Lambda/API Gateway
Experience working with data mining and performing quantitative analysis
Experience with Machine Learning algorithms and associated data sets
Knowledge & Skills:
Business acumen results-oriented
Proactive/takes initiative/self-starter
Excellent written and oral communication skills
Ability to create, coordinate and facilitate presentations
Time management, highly organized
Collaboration and Team Engagement
Analytical and Problem Solving
Data-driven/Metrics Driven
Job Type: Full-time
Salary: $70,000.00-$90,000.00 per year
Benefits:
Dental care
Extended health care
Life insurance
Vision care
Schedule:
8 hour shift
Ability to commute/relocate:
Toronto, ON M2N 5W9: reliably commute or plan to relocate before starting work (required)
Education:
Bachelor's Degree (required)
Experience:
Data Analyst: 5 years (required)"
Data Analyst,"Who we are
Moneris was created as a joint investment between RBC and BMO Bank of Montreal (including Harris Bank) in December 2000. By maintaining the tradition of security and strength of our parent banks, today we are Canada's #1 processor, and one of North America's largest.
We are re-imagining commerce and shaping the future of FinTech. To do that, we empower our teams to redefine what's possible, enable them with the right tools and resources, and support them every step of the way.
Connect. Impact. Grow. Join one of Canada's top employers and make your mark at Moneris.
What you'll do
This role exists in order to analyze, design, develop, manipulate, business and financial data to influence and drive decision making as well as produce models to support business operations and business insight.
You will be accountable for:
Eliciting, analyzing and understanding business and data requirements to develop complete reporting and analytics solutions.
Executing on special projects / ad-hoc assignments as required with the ability to assume assignments that are moderate- to highly-complex and multi-faceted, to be performed under management guidance.
Conducting regular, on-going evaluation of current processes and provide guidance and recommendations to enhance the teamâ€™s overall performance.
Extensive SQL query skills to produce tableau dashboard reporting as well as ad-hoc analytics.
Design and development of data sources based on business requirements for reporting objects.
What you bring
Must-have experience, knowledge, skills & abilities
Undergraduate Degree, Technical Certificate or equivalent business experience.
5-7 years of experience working with various data sources and relational databases.
Must be able to clearly articulate analytical findings.
Must have superior skills in SQL
Excellent communication skills (both written and verbal) with proven ability to communicate technical and highly complex information.
Strong time management skills ability to prioritize and manage own workload in order to deliver quality results and meet timelines.
Strong analytical and conceptual thinking skills with proven ability to interpret data, spot patterns and anomalies and provide insight.
What you get
Emphasis on Wellness - Meeting Free Fridays (MF2), company-wide holiday closure, just to name a few
Thrive in a Hybrid or Remote Model
Learning & development programs and resources - plus unlimited free access to LinkedIn Learning
EAP (Employee Assistance Program), Educational Assistance and Recognition Program
Employee perk program with incredible discounts for over 2,400 vendors and exclusive banking offers from BMO and RBC
Get involved in one or many of our Employee Inclusive Groups (EIGs) including Black Employee Network, Moneris Immigrants Society, 2SLGBTQIA+ EIG, just to name a few
Who you'll work with
As an integral part of the Moneris team, our Finance Department is made up of analytical and critical thinkers within five key functions: Controllership, Financial Planning & Analysis (FP&A), Corporate Data Analytics, Treasury. We are united by our mission to provide insights on key analytics and trends to support our teams in making the right business decisions. We are responsible for protecting the assets of Moneris and ensuring there are sufficient funds to support operations, merchant settlements, and growth.
Check out our careers hub to learn more about life at Moneris!
Note: We welcome and encourage applications from Indigenous peoples, people of colour, people with disabilities, people of all genders, sexual orientation and intersectional identities.
#INDOTH
Job Type: Full-time
Benefits:
Company events
Employee assistance program
Extended health care
RRSP match
Store discount"
Data Analyst,"EXTERNAL JOB POSTING #124
Posted: 04 October 2022â€“ 18 October 2022
Data Analyst
Clinical Services
One (1) Non-Unionized,
Permanent, Full Time Role
About Cota
Cota is an accredited, not-for-profit, community-based organization that has been supporting adults with mental health and cognitive challenges to live well within their communities for over 45 years. We provide person-centred support to help individuals find inspiration and hope in themselves, so they are better able to pursue meaningful change in their lives. We also work collaboratively with our funders, our partners and other stakeholders, across the provincial health and social service systems, to inspire positive change in the way services are delivered to individuals living with mental health and cognitive challenges.
Role Overview
We are seeking a dynamic and innovative professional. You should be passionate about supporting the delivery of safe, recovery oriented, client & family centered comprehensive services in manner that meets client needs. You will be excited to work within a quality improvement framework to identify opportunities for enhancing client outcomes as we continue to inspire and provide excellent support to our clients.
About the Team and Role Overview
The Data Analyst will be responsible for data collection, analysis and report generation in order to support various aspects of Cotaâ€™s operations, funder compliance obligations, quality improvement ambitions and strategic planning. While this position will prioritize the tracking, analysing and reporting on pertinent information pertaining specifically to Cotaâ€™s Transition Aged Youth (TAY) program, it is also expected to assist with other Cota-wide data analyst tasks and/or projects as may be requested by senior leadership, supported by the Director-MCCSS Funded Services and formally authorized by the Chief Executive Officer.
Summary of Duties:
Responsibilities of this position include but are not limited to those below:
TAY Specific Tasks such as:
Produce analytics to determine capacity and demand in the transfer payment sector
Data collection per TAY service location/region
Produce key data sets to present client profile demographics
Development of a prioritization tool to assist in prioritizing TAY clients for transition to adult services
Report on program flow through to consistently meet targets for TAY client transitions to adult services
Develop data elements to present average costs per placement and report placement breakdowns
Responsible for the modification and enhancement of Cotaâ€™s current Quality Assurance Measure Audit Tool
Support Quality and Risk Specialist to collect and report data and trends from Serious Occurrence Reports to private operators and external stakeholders
Generate quarterly TAY performance dashboard report
Other Cota-wide tasks such as:
Creating and/or populating reports related to various performance indicators and/or outcome measures
Compiling data and/or generating statistical reports for funders and/or to inform programmatic and/or strategic decisions
Supporting quality improvement initiatives of the organization
Liaising with Cotaâ€™s electronic health record vendor(s) to recommend design improvements and resolve data integrity issues, ensuring the system is meeting the needs of the Agency
Conducting regular electronic health record data audits to ensure data integrity is maintained, timely resolution of any data inconsistences and implementation of mitigation strategies to avoid future errors
Maintaining thorough documentation of system standards, practices, processes
Other duties as assigned
Other Responsibilities:
Adheres to all Cotaâ€™s policies and procedures and follows established applicable program guidelines, procedures and practices.
Adheres to all applicable legislation, in particular, the Ontario Human Rights Code
Complies with all Health and Safety policies and procedures to ensure the protection of workers and clients and that health and safety concerns or incidents are responded to promptly.
Works cooperatively, respectfully and constructively with clients, team members, management, other service providers, and external stakeholders
Ensures that confidentiality of clients, employees and Cota information is maintained at all times.
Undertakes other related and/or delegated duties, as assigned
Summary of Qualifications:
Knowledge and Skills:
Understanding of health policy environment in the not-for-profit sector
Knowledge of Management Information Systems (MIS) software and Ontario Health Reporting System (OHRS). - Demonstrated ability to carry out special studies / projects that require independent judgment and initiative.
Proficient in the use of all corporate productivity tools including O365 package
Strong data reporting, statistical analysis and presentation skills
Proven ability to work effectively with internal and external stakeholders
Excellent organizational, communication and interpersonal skills with proven ability to work effectively at an individual, organizational and systems level
Sound problem-solving skills
Strong communication skills, both verbal and written, with experience translating technical information into practical language for stakeholders with varying degrees of technical proficiency
Advanced Microsoft Office skills required
Education and Experience:
A Minimum of 2 years of experience with statistical analysis, measurement and evaluation
Successful completion of either an undergraduate degree or college diploma in computer science or related field- Health Information Management preferred, or equivalent experience
Experience working with complex information systems, data analytics, business intelligent tools
Previous experience with client statistical reporting
Other Requirements:
The majority of working hours fall within regular business hours. Flexibility is required to ensure reports are generated in accordance with due dates
Â· Adhere to Cotaâ€™s COVID-19 Vaccination Status Disclosure policy
Proof of Full COVID-19 Vaccination status is required as a pre-condition of employment
Application Details:
Please forward a cover letter and your current resume (in one file) on or before October 18th, 2022 by 4:00pm to Human Resources via e-mail with the reference #124.
Cotaâ€™s Values & Commitment
Cotaâ€™s core values of Hope, Respect, Dedication, Collaboration and Innovation are at centre of who we are and what we do.
As an equal opportunity employer, we remain dedicated to sustaining an experienced workforce that reflects Cotaâ€™s commitment to recognizing everyoneâ€™s contributions, respect of everyoneâ€™s dignity, unique experience and potentials.
Cota will not condone or tolerate any acts of discrimination or harassment under any of the grounds protected under human rights legislation. This commitment extends to the hiring process and throughout the course of employment.
Cotaâ€™s Accessibility Statement
Cota is committed to the principles of the Accessibility for Ontarians with Disabilities Act (AODA). As such, we strive to make our entire hiring process as accessible as possible and provide accommodations as required for applicants with disabilities. For any recruitment related accommodation needs and/or requests please contact the HR Department via e-mail.
Additional Information:
COVID-19 announcement: Due to the current pandemic, Cota may choose to conduct parts/all of the hiring process virtually. Please note that as part of maintaining an agile workforce, all Cota staff may be required to be reasonably reassigned to support the operational needs of our essential services.
Scent Free: Cota encourages a scent-free environment. Any staff or visitor attending any of our sites should please refrain from wearing fragrances and other scented personal care products (i.e. perfumes, deodorants, lotions, hairspray, etc.)
We would like to thank all those that apply; however, due to high volumes of interests, only those selected for an interview will be contacted.
Thank you, Cotaâ€™s HR Department.
Job Types: Full-time, Permanent
Salary: $36.35-$42.61 per hour
Benefits:
Company pension
Dental care
Disability insurance
Employee assistance program
Extended health care
Life insurance
RRSP match
Schedule:
8 hour shift
Education:
DCS / DEC (required)
Experience:
statistical analysis, measurement, evaluation and report: 2 years (required)
Application deadline: 2022-10-18"
Data Analyst,"We are looking for someone that can follow instructions well with a high level of attention to detail. Within your cover letter, please include your experience with Microsoft Excel.
A local market research start-up is looking for a jr research analyst, who possesses strong Excel skills, in downtown Toronto.
We are a team of 10 full-time employees + several part-time remote workers. We have built a solid customer base and are looking to expand and grow our brand in the coming years. Get in at the ground floor with room for advancement and the opportunity to develop your personal skills.
The role will involve working on projects for a wide variety of tier 1 & 2 companies across North America. We offer an array of survey consulting services and develop reporting models/frameworks to turn their data into actionable results.
Job Description Position:
Some of your contributions will include:
- Participating in program developments, questionnaire design and sample selection
- Managing online surveys for our clients
- Update clients on their survey progress
- Assist/Troubleshoot on any inquiries from survey participants
- Translating complex data and research outcomes into engaging and actionable formats for clients.
- Demonstrating exceptionally strong research design and core analytical skills
- Filter and â€œcleanâ€ data, and review computer reports, printouts, and performance indicators to locate and correct code problems
- Work closely with a small team to prioritize business and information needs
- Locate and define new process improvement opportunities
About you:
* University Degree (Preferably in Business, Economics, Information Management or Statistics)
* Solid working knowledge of Excel (Pivot Tables, VLooksUps, Filters, Graphing & Picture Tools, Macros, etc.)
* Strong report writing, analyzing, and attention to detail
* Detail & quality oriented
* Proven organizational skills and ability to prioritize / manage multiple tasks across simultaneous projects
* Great communication and storytelling skills, both verbal and written
* Any HTML/CSS coding skills is an added bonus
Job Types: Full-time, Permanent
Salary: $40,000.00-$45,000.00 per year
Benefits:
Dental care
Extended health care
Paid time off
Schedule:
8 hour shift
Expected start date: 2022-10-24"
Data Analyst,"The Data Analyst will be responsible for providing operational support for team of lawyers and also for working on team and enterprise initiatives related to database services.
Candidate will be responsible for cleaning, analysing, interpreting, and displaying data using different approaches and business intelligence tools is known as data analysis.
Candidate will assist business in uncovering key insights that lead to better informed and successful decision-making. It is concerned with the transformation of raw data into meaningful statistics, information, and explanations
Experience in working in a large technology enterprise
Minimum 5 years experience in excel based analysis
Min 1 years experince in writing macros
Working knowledge of Microsoft Access / sql skills
Job Type: Full-time
Salary: $47,581.28-$70,000.00 per year
Schedule:
8 hour shift
Ability to commute/relocate:
Toronto, OH 43964: Reliably commute or planning to relocate before starting work (Required)
Experience:
SQL: 1 year (Preferred)"
Data Analyst,"For the past 12 months, the Toronto Foundation for Student Success (TFSS) has been implementing a digital transformation to:
Strengthen its data management capabilities to support insight driven strategies and actions
Implement a digitally-enabled technology architecture
Provide staff with the digital tools and data to be aligned and empowered to deliver our services during and after the pandemic.
Overview of the Opportunity
This is a full-time position starting immediately. We continue to grow and with that growth comes the need to manage and analyze its data to support insight-driven strategies and actions. To fulfill that need we are looking for a data analyst to work with our Digital Transformation and Services Director, as well as management, to provide not only the right technical capabilities, including business requirements and data analysis, but also the right values and mindset to design, operate and improve the resulting digital data analysis and reporting services using an Agile-influenced approach to digital transformation.
We currently use the following cloud-based platforms to digitize its business operations and meet its data management needs:
Microsoft 365 Business Premium
Microsoft Power Apps and Dataverse platform
Microsoft Power BI
Blackbaud Raiserâ€™s Edge and Financial Edge
What you will do
As our Data Analyst, you will report to the Digital Transformation and Services Director, to analyze business and data requirements and execute on a digital transformation plan you co-create with key stakeholders. You will work with team members to:
Create documentation for existing and new technologies implemented;
Manage Microsoft 365 Users;
Training Staff in better practices on cloud storage and document sharing;
Assess the organizationâ€™s requirements for digitally enabled processes and data analytics and reporting services;
Design the required business processes, user stories, data models, reports, dashboards and impact infographics;
Understand regulatory compliance requirements for the management of sensitive personal data;
Support the design and testing of digital solutions;
Support the project management office to schedule and prioritize user stories and solution enhancements; and
Train and support users to apply the digital solution and tools to meet their data management, reporting and analytic needs.
You will be working alongside a skilled and dedicated team with roles across the organizational functions. Core to your success will be:
Quickly understanding the organization, how it works and its strategy;
Working with stakeholders in the organization to create a set of business processes, data management and reporting requirements;
Up-to-date knowledge of relevant data modeling techniques and data analytics tools using Microsoft Dataverse platform and Power BI or equivalent low code, no code data management, reporting and analysis solutions;
The ability to analyze and tell a story with data to inform key strategic and day-to-day decision making in the organization; and
The ability to communicate your work and its value to others, to drive organization-wide engagement and excitement in what you are doing.
What you bring to the role
The position will require you to be self-directed, creative, innovative and flexible. We are looking for someone who has displayed strong leadership throughout their career to date.
You will think holistically about the organization and its data management and analytics needs to achieve our goals of rapidly identifying student needs that funders can support and providing the evidence of the impact of programs and services in meeting these needs.
It is important to us that you have done this before â€“ meaning 1-3 years of relevant data analysis experience is required.
You are quick to pick up new technologies and tools. You ask questions and listen intently to establish organizational requirements and you consider and balance the needs of the organization and those that it serves with the most technologically sensible data management and analytics solutions.
You understand that training and organizational change is required during our digital transformation and that it is a process that requires you to bring others on the journey with you.
Qualifications and Skills
Microsoft 365 apps knowledge (SharePoint, PowerPoint, Advanced Excel) is a must. Computer literacy and fluency with systems such as Microsoft Office applications, especially data management in MS Excel, are must-haves for this position.
Writing skills: Must be able to create clear and consistent procedures to formalize business processes and to document analyses and track solutions.
Detail-oriented: It is essential to provide quality work at every stage of the process and to be organized.
Creativity: Creativity is encouraged to find solutions that will simplify the process, which will support operations, and maximize the use of tools.
Communication skills: Must be able to express ideas clearly to transmit the business requirements, operational, and functional requirements to development teams.
Awareness of emerging IT trends and directions.
Assets
Experience with Microsoft Power Apps, Dynamics 365 and Power Automate is a plus.
Working knowledge of Agile project methodology.
How to Apply
TFSS is committed to a policy of access and equity in its hiring practices. To learn more about who we are and what we do, please visit our website at www.tfss.ca.
Only candidates selected for interviews will be contacted. No phone inquiries.
Please send a cover letter and a resume to the email listed.
Job Type: Full-time
Salary: $70,000.00-$75,000.00 per year
Benefits:
Dental care
Extended health care
Vision care
Schedule:
Day shift
Monday to Friday
Application question(s):
How many years of work experience do you have using Microsoft 365 Apps?
How many years of work experience do you have using Microsoft Dynamics?
How many years of work experience do you have using Microsoft Power BI?
Do you have work experience with Microsoft Power Automate?
Work Location: Hybrid remote in York, ON"
Data Analyst,"Looking to hire a Part-Time Data Analyst ASAP.
$15.50/ hour
This position is ideal for a student who is looking to gain experience or anyone looking for a side hustle. Not required to write any articles and no coding required. Candidate will be fully trained for the above tasks.
Job description:
1. Reports to be sent to a mailing list in MailChimp
2. Posting articles on 2 WordPress based websites (daily, no coding required)
3. Month-end price capture in excel sheets (prices of various metals already setup in the sheet)
Please look up the following websites to familiarize yourself:
https://mineralprices.com/
https://ecologyfinance.com/
https://mineralfunds.com/ (Reports are in the right-hand sidebar)
Job Type: Part-time
Salary: $15.50 per hour
Flexible Language Requirement:
French not required
Ability to commute/relocate:
Toronto, ON: reliably commute or plan to relocate before starting work (preferred)
Application deadline: 2022-10-25"
Data Analyst,"Subsidiary: Miller Paving Limited
Location: Markham, ON

What Does a Data Analyst Do?
The Business Intelligence Analyst would work closely with operations and our IT team to enable senior managers to understand and present information on various tools including Power BI to enable better business decisions.
As a Data Analyst, You Will:
Design, develop, and deliver dashboards that enable senior leaders and business teams to efficiently understand data trends
Build optimized data models that support dashboard requirements, integrating data from enterprise data warehouses
Understand key business needs and translate into KPIs, dashboard data, metrics, and dimension requirements
Work closely with IT partners on data model construction and data analysis
Share solutions and collaborate with the broader analytics, business intelligence, and internal IT community
Continually engage in self-learning activities to advance understanding of the latest Power BI capabilities
Have a passion for big data, data science and predictive modelling
Ensure adherence to data governance, compliance, and risk policies
Advanced Excel is required
What You'll Bring:
Post-secondary education in a technical discipline, such as Computer Science, Mathematics, Statistics, Engineering, Information Technology, or Management Information Systems
Experience developing data models and dashboards
Experience gathering business requirements for reporting needs
Strong attention to detail and managing time efficiently
Strong collaboration skills
Highly responsive and driven individual for a demanding work environment
Experience working with SQL, DAX/PBI is required
Experience working with data visualization tools such as Power BI, Tableau, Qlikview, and Business objects is required
Azure stack: BI â€“ Data Lake Gen 2, Azure Synapse and DevOps would also be required
Assets would be data architecture, Python, M, R, Power BI, JD Edwards and/or other ERP Systems
Experience working in construction of manufacturing would make you a preferred candidate
Miller is proud to provide this unique career opportunity, we offer continuous learning, opportunity for growth, and a competitive compensation package. At our core; we are our people. We succeed because we respect our people and invest in their development, safety and well-being. Miller is an equal opportunity employer. We believe that diversity and inclusion are key attributes to building greatness. Millerâ€™s core values of Integrity and Community welcomes everyone, at work and in the community, and our value of Accountability, means that we own our actions, our decisions and our results. As a Miller employee, this will ultimately be your commitment to our inclusive culture.
We will contact candidates selected for an interview. Accommodation for applications with disabilities will be made during the recruitment process when requested."
Data Analyst,"Job Category:
Advisory
Opportunity Awaits at Altus Group!
The opportunity
Our Data Solutions team in Toronto is looking for a new Data Analyst to join us in a hybrid position. You will be part of a highly motivated, multi-disciplinary team of professionals focusing on developing key commercial and residential trends across Canada. You will leverage our proprietary data to provide market intelligence that will guide internal and external decision-making. You will support the generation of monthly and quarterly reports related to Canada's housing markets by preparing the background files and associated analytics. You will liaise and collaborate with industry professionals and information partners to achieve objectives and maintain the consistent and timely provision of market trends.
What's in it for you
Exposure and career growth. You will be part of an organization that works on an exciting range of commercial property projects across the country, a place recognized at the top of our industry. You will gain access to our proprietary databases used by the global industry and gain insights into our services and the Canadian development market. You will be mentored and grow your knowledge as you foster relationships with internal team members and have the chance to work on a variety of deliverables from research to data entry, from report writing to drafting property descriptions.
What you will do:
Analyze. You will develop quality assurance procedures for data, evaluating for completion and accuracy. You will process and analyze data sets, synthesize information for market research, create dashboards, and develop models and charts. You will play a key role in expanding our commercial and residential real estate market analytics .
Collaborate. You will work with the research consulting and marketing teams in developing, visualizing and writing periodic market trend reports covering various real estate sectors. You will support the Manager, Research Insights, with the market forecast initiative.
Grow your knowledge. You will attend industry events and meetings, reviewing professional publications, establishing personal networks, and benchmark best practices.
You will have:
The education and experience. You have a university degree or college diploma in Urban Planning, Geography, Economics, Finance, Business, Real Estate or a related field and 1+ years of experience in real estate research. Ideally, you have exposure to both the Canadian housing market and the commercial real estate or development industry. You have professional writing skills to competently author trend reports.
The technical skills. You are proficient in MS Office and Tableau. You have excellent research, and analytical skills. You can process and analyze data sets, synthesize information for market research, create dashboards, and develop models and charts.
The drive. You can take the initiative and be resourceful, operating with a high degree of integrity, honesty, and ethics.
We thank you in advance for taking the time to learn more about what makes Altus a great place to grow your career and do some of your best work. Apply now, refer a friend or stay on top of what's new by following us on
LinkedIn
.
Come realize your potential at Altus Group!
Altus Group is committed to fostering an inclusive and accessible environment where employees feel valued and respected, and where every employee has the opportunity to realize their potential. We are committed to providing reasonable accommodations, if required, and will work with you to meet your needs. If you are a person with a disability and require assistance during the application process, please contact us at accessibility@altusgroup.com or 416-641-9500."
Data Analyst,"You are as unique as your background, experience and point of view. Here, youâ€™ll be encouraged, empowered and challenged to be your best self. You'll work with dynamic colleagues - experts in their fields - who are eager to share their knowledge with you. Your leaders will inspire and help you reach your potential and soar to new heights. Every day, you'll have new and exciting opportunities to make life brighter for our Clients - who are at the heart of everything we do. Discover how you can make a difference in the lives of individuals, families and communities around the world.
Job Description:
Do you have a passion for data? Do you like analyzing numbers to provide meaningful insights? Do you like making an impact on the business around you? A role as Data Analyst at Sun Life Financial might be right for you!
We are looking for a Data Analyst in the Business Intelligence team. The Data Analyst will support the development of new reports/tools, recurring report generation, analysis of key results, and ad hoc investigation for the Client Engagement teams, providing actionable insights to drive the business forward.
The incumbent will also provide project support, acting as an advocate for data issues as well as representing the business needs for our stakeholders. The Business Intelligence team comprises of business data analysts at various levels of increasing responsibility and scope, providing a great career path for the right candidate
What will you do:
Work closely with business stakeholders to transform complex business problems into addressable analytical questions and queries
Operationalize reporting processes and synthesize key metrics into impactful and insightful dashboards to monitor and assess the success of the business initiatives
Ensure the accurate and timely completion of all baseline reporting, ad-hoc requests and project initiatives.
Prioritize projects on a monthly basis and align with leaders of the business team
Stay abreast of Client Engagement processes and results, raising emerging trends and continuous improvement ideas to Management
Enable leaders to make timely data-driven product, market-development, and distribution decisions.
What do you need to succeed?
3+ yearsâ€™ experience in a Data Analyst or Performance Analyst role
Advanced SAS Enterprise Guide or SQL Server/ MySQL
Advanced experience with visual analytics tools e.g. Tableau
Advanced Microsoft Word, PowerPoint, Excel, Access, Visual Basic
Experience/exposure to Big Data tools (i.e. Hive, Python)
Customer and results focused, with an ability to work with stakeholders to understand and act based on their needs, assess risks, and achieve a valued result
Comfortable with ambiguity and able to operate in a matrix environment with complex tasks
Proven problem solving skills with the ability to break down high-level data into easily communicated information
In-depth prioritization, planning, and change management skills to stay within time/scope of a task in a fast-paced environment
Comfortable learning new applications and processes quickly with minimal direction
Proven client orientation, strong interpersonal skills
Undergraduate in Business, Statistics, Computer Science (or equivalent university degree or college diploma)
Experience in assessing marketing campaigns in various channels (establishing control, measuring ROI)
Past experience in life insurance/wealth management, or other financial services industry (e.g., retail banking, credit card, property and casualty insurance)
What's in it for you?
Great Place to WorkÂ® Certified in Canada and the US.
Named 2021 â€œBest Places to Workâ€ by Glassdoor
Canada Award for Excellence for Mental Health at Work - 2021
Flexible hybrid work model including in-country work-from-home if you prefer.
Pension, stock and savings programs to help build and enhance your future financial security
Work and professional development that is united by our Purpose: to help Clients and Employees achieve lifetime financial security and live healthier lives
A friendly, collaborative, and inclusive culture
Be part of our continuous improvement journey in developing the next greatest digital enterprise experience.
#LI-Remote
The Base Pay range is for the primary location for which the job is posted. It may vary depending on the work location of the successful candidate or other factors. In addition to Base Pay, eligible Sun Life employees participate in various incentive plans, payment under which is discretionary and subject to individual and company performance. Certain sales focused roles have sales incentive plans based on individual or group sales results.
Diversity and inclusion have always been at the core of our values at Sun Life. A diverse workforce with wide perspectives and creative ideas benefits our clients, the communities where we operate and all of us as colleagues. We welcome applications from qualified individuals from all backgrounds.
Persons with disabilities who need accommodation in the application process or those needing job postings in an alternative format may e-mail a request to thebrightside@sunlife.com.
At Sun Life we strive to create a flexible work environment where our employees are empowered to do their best work. Several flexible work options are available and can be discussed throughout the selection process depending on the role requirements and individual needs.
We thank all applicants for showing an interest in this position. Only those selected for an interview will be contacted.
Salary Range:
53,300/53 300 - 86,300/86 300
Job Category:
Advanced Analytics
Posting End Date:
30/10/2022"
