,0,1,2,3,4
0,"Intern, Data Analyst (Winter 2023 - 4 months)",Fiera Capital,"Toronto, ON","Posted
Posted 2 days ago","With approximately CAD 156.7 billion in assets under management as of June 30, 2022, Fiera Capital, an independent firm, is one of Canada’s leading investment managers. We deliver customized multi-asset solutions across public and private market asset classes to institutional, financial intermediary and private wealth clients across North America, Europe and key markets in Asia. We strive to be at the forefront of investment-management science, and we are passionate about creating sustainable wealth for clients. Fiera Capital is recognized for our talented people. Our teams collaborate and seek to draw on the global industry’s most innovative and diverse offerings to craft strategies that meet the needs of any client, anywhere they are located.

Why join Fiera Capital:

Inclusive workplace and diverse background of employees
Growth and development opportunities
Entrepreneurial industry-leading company with a purposeful mission
Flexible work arrangements, competitive compensation and benefits
Collaborative approach, innovative and culture of integrity
Ambitious organization who strives for excellence

What we are looking for:
The intern will work with the Data Analytics and Delivery team building data-driven solutions to key business challenges.

Application deadline : October 14, 2022
Your responsibilities:
Work with cross-functional teams to develop innovative solutions to problems faced by the business units
Identify, analyze, and interpret trends and patterns in complex data sets
Work with key stakeholders to prioritize business and information needs
Identify opportunities for process improvements
Must have requirements to be successful in this role:
Pursuing a bachelor's or graduate degree in computer science, data analytics, information systems, business or related field
Strong interpersonal, analytical, and problem solving skills
Experience with SQL and reporting tools (PowerBI, Tableau etc.)

#LI-Hybrid
For positions available in Quebec that require fluency in French and English, please note that bilingualism is required due to our global offices and clients.

Fiera Capital subscribes to the principle of employment equity. Our staff is our most valuable asset, and our goal is to create an inclusive and equitable environment where everyone can reach their true potential.

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability, genetic information, or any other federal, state, or local protected class. Fiera Capital will not tolerate any form of discrimination or harassment.

All staffing decisions, including hiring and promotion decisions, will be based on merit, skills, performance, and business needs. We are pleased to receive applications from qualified individuals from a variety of backgrounds. Job applicants who are individually selected for an interview will be notified that accommodations are available upon request. If a selected participant requests accommodation, Fiera Capital shall consult with the applicant and provide, or arrange for the provision of, a suitable accommodation in a manner that considers the applicant’s accessibility needs due to disability.

Please stay vigilant and never share personal or confidential information during this hiring process unless it is through Mintz Global Screening, the secured platform we use to exchange such information. If in doubt, or if you think you have been a victim of fraudulent manoeuvres during your hiring process, please contact us.

Please note that job title indicated in job postings may differ from internal job titles. Accordingly, offers of employment may not reflect job titles indicated in job postings.

We thank all applicants for their interest in a career with Fiera Capital. We will only communicate with those selected for an interview."
1,"Business Intelligence Analyst - Toronto, ON",FCM,"Hybrid remote in Toronto, ON","Posted
Posted 3 days ago","Job no: 514283
Brand: FCM
Work type: Full time
Location: Ontario
Categories: Information & Technology, Business Development
Business Intelligence Analyst
If you love data, this job is for you. We are looking for a smart and driven individual to be responsible for building datasets, reports, and dashboards to measure operational performance for our global business. In this role, you will be responsible for data transformation, modelling, and reporting development. Applicants should have a strong background using the Microsoft Business Intelligence suite or similar technology. The qualified candidate must have a minimum of 2+ years of relevant experience.
Responsibilities:
Developing visual reports, dashboards and KPI scorecards
Collect enormous amounts of data and transforming it into usable formats.
Generate ad hoc reports and regular datasets or report information for end-users using system tools and database or data warehouse queries and scripts
Integrate data from various sources to produce requested or required data elements
Adhoc analysis of business data
Assist with customer support queries, such as data integrity and validation questions
Analyze data and trends, and suggest performance improvement measures
Work effectively with the operations and engineering teams to identify, estimate, prioritize, and resolve issues
Should be comfortable working in Agile Scrum model
Attend meetings with clients and stakeholders
Technical Experience:
Knowledge of Microsoft Azure (Azure SQL, Azure Data Factory, Azure Data Lake, and related technologies)
Microsoft Business Intelligence tools – Power BI
Strong experience with DAX language
Must have a good understanding of data relationships and a strong command of SQL syntax
Analysis and design skills, critical thinking, and analytical problem solving
Not required but nice to have:
Experience with travel data
Experience measuring and scoring data quality
Experience with other Business Intelligence tools
Python / R
Benefits Include:
Generous remuneration structure
Travel perks/discounts.
Health & Wellness Programs and Employee Financial Wellness Services
Generous paid-time off policy
National/International Award Nights and Conferences
Diversity & Inclusion initiatives
Benefits including vision, medical, and dental
Employee Assistance Program
RRSP with matching
Employee Share Plan
Global career opportunities in a network of brands and businesses
Ongoing training and professional development
Fun and flexible work environment
Proud Corporate Social Responsibility platform through the Flight Centre Foundation and Brighter Futures program supporting nominated charities through Workplace Giving, Volunteering and Fundraising.
Employee giving program
Annual Charity Trip
Office Environmental Program
1 Volunteer Day per Calendar Year
#LI-REMOTE
Location – Toronto, ON
The role can be performed onsite, remote or on a hybrid schedule, in compliance with the Company’s Remote and Flexible Work Policy.
We thank all candidates for their interest; however, only those selected to continue in the process will be contacted.
Our number one philosophy? Our people. Flight Centre Travel Group’s promise is to provide an environment with equality of respect, dignity and opportunity for all our employees. We value an inclusive and supportive workplace which truly reflects the diversity of our society.
We are committed to providing a barrier-free pathway throughout our recruitment process. We welcome accommodation requests to make our hiring and onboarding experience as accessible as possible. Please advise us about accommodation needs at any point by contacting our Recruitment Team at fccareers@flightcentre.ca"
2,Actuarial Analyst,LifeWorks,"Toronto, ON","Posted
Today","Build a meaningful career
At LifeWorks, we offer more than career opportunities, we provide career opportunities to make meaningful contributions to people’s lives. The extraordinary expertise of a more than 7,000-strong workforce is harnessed to support the employees and families of the organizations we serve. Our innovative programs have a lasting impact on the health, financial security and productivity of 24,000 workplaces.
Provide actuarial and administration servicing support for our Canadian and international clients in the areas of pensions, life insurance, health insurance and social security. Strong communication skills, good analytical skills, attention to detail, self-management and organization skills are required.
Responsibilities:
Be responsible for data analysis, validations, and handling, using Morneau Shepell's internal software/systems
Performs data reconciliations and benefit / costing calculations
Preparation of standard pension benefit calculations / statements (retirements, terminations, etc.) in accordance with plan rules and legislative requirements
Assist with other pension plan administration tasks
Work with databases and Morneau Shepell’s internal software/systems
Prepares data and performs actuarial valuations for pension plans, life insurance companies, corporations, and social security schemes
Understand and analyze financial statements and actuarial reports for life and general insurers
Construct worksheets / databases using excel and access to analyze data
Prepare draft reports on analyses
Receive and respond to routine enquiries and requests from clients
Takes direction from, and supports, team members
Attend internal training sessions to build knowledge of industry topics and trends
Assist with special projects, as required
Become familiar with international regulatory environments – legislation and policies

Requirements:
University degree in actuarial science or mathematics
Successful completion of at least 3 SOA exams preferred
Strong competency with MS Office, particularly Word, Excel and Access
Familiarity with GGY AXIS considered an asset
Combination of excellent analytical and mathematical skills with strong work ethic
Exceptional communication and organizational skills
Dedicated team player, who demonstrates initiative and independence
Where permitted by law, LifeWorks employees must be fully immunized to access a LifeWorks office or customer premises.
Persons with disabilities who need accommodation in the application process or those needing job postings in an alternative format may e-mail a request to
talentacquisitiononboarding@lifeworks.com
Fulfilling work that matters
LifeWorks is in the business of helping organizations help their people and in the process, we strive to elevate ours. We're always looking for talented professionals and strategic leaders looking to make a difference in the lives of the people we serve. We appreciate the interest of every applicant; however, we contact only those selected for an interview.
At LifeWorks, we are committed to putting our people first. Our priority is to optimize the health and productivity of our people. In light of COVID-19, our company continues to monitor the global situation and following local guidance in each of our communities to ensure the health and wellbeing of our employees. Safety is our highest priority, and while the goal is to ultimately return to the office, we are currently working remotely and are connecting with candidates through virtual interviews, recruitment events, and information sessions. We are excited to connect with you virtually, and look forward to receiving your application."
3,Operations Analyst (CO-OP STUDENT),Flow Hydration,"Toronto, ON","Posted
Posted 1 day ago","Who we are
Since starting with a single family-owned artesian spring in Canada, Flow has grown rapidly. And our commitment to providing naturally alkaline, naturally delicious spring water without the plastic bottle has grown as well. As a Certified B Corporation, Flow meets the highest social and environmental standards. From our 100% recyclable, 68-75% renewable packaging to our minimal use of natural resources, Flow works to provide sustainable hydration and to protect our planet for generations to come.

6 - 8 month contract - please note, you must be enrolled in an accredited co-op program.

Who you are

A bright, data-driven individual, you are a lover of metrics, numbers and spreadsheets, and consider it a good day when you design a complex Excel model. You enjoy the challenge of finding and implementing process improvements, and are able to present your findings in well-documented and concise manner.

What you’ll do day-today
Provide quantitative analytic support to the Operations team on projects requiring financial or data analysis, ensuring accurate forecasting and re-planning of budget
Create process maps for key supply chain & production functions, identifying gaps, inconsistencies, and opportunities for improvement in the current operational workflows
Update Standard Operating Procedures to reflect changes in workflows
Support the creation of new processes to interact with ERP systems ensuring they work for the System, Process and People
Support the creation of business models and presentation decks
Support master data collection and management, including SKU portfolio details, consignee list for customer ship-to locations, and universal product codes in the system
Support the Operations team in the execution of any special projects (warehousing changes / roll-out of new systems or tools, sourcing changes, etc.)
Collect data from various internal and external sources to prepare analytical reports that effectively measure and communicate performance to various stakeholders
Develop reporting structures and statistical methods for trend analysis
Your qualifications
Working towards a degree in Industrial Engineering, Supply Chain or a related field
Strong analytical, data processing and problem-solving skills
Excellent skill with Microsoft Excel (complex functions) & PPT"
4,Asset Management Analyst,WilsonCTS,"Toronto, ON","Posted
Posted 7 days ago","Asset Management Analyst
Permanent/Full-time Opportunity
Location: Toronto, ON (Hybrid)
Salary: $70,000 - $90,000 (Salary to commensurate with experience) + Bonus + Benefits + Vacation + RRSP
Our client, a global real estate organization, is currently seeking an Asset Management Analyst to join their team. Reporting into the Senior Manager, Asset Management, the incumbent will be responsible for providing analytical support to the asset management business and will gain exposure to all facets of the Canadian business including leasing, operations, development, and investments.
Key Responsibilities:
Providing analytical support and input in the preparation of annual operating, leasing, and capital budgets and quarterly re-forecasts
Reviewing and analyzing monthly property management reports and financials, variance analysis, and benchmark comparisons
Crafting portfolio-level tracking and summaries, return calculations, NPV and IRR analysis
Leading a collaborative effort including key internal and external partners to update the Asset Management Plans and Strategic Investment Plans on an annual basis and develop tools to track performance against plan.
Working collaboratively with internal partners to maximize returns and enhance asset value by driving NOI to identify revenue improvement and /or expense management opportunities through analysis of operating results, key leasing transactions, market and leasing assumptions, capital expenditures, and implementation of asset management initiatives.
Developing and improving on existing reporting and presentations provided to internal management and co-owners
Developing high value-add reporting including in-depth analysis on operational benchmarking, leasing performance, and capital projects
Providing analytical support in strategizing and prioritizing capital expenditure spending in conjunction with asset management plans and return on investment objectives
Providing asset management support to the valuations, research, development, and investment teams by providing leasing, market, and underwriting assumptions for new developments, financings, acquisitions/ dispositions, internal valuations, and other corporate activity
Analyzing and recommending new ways to unlock value from new technology and ESG initiatives
Conducting and performing market research and analysis on a regular basis to identify market conditions and trends
Participating in process improvement initiatives and creation of data analytics dashboards
Providing support on various ad-hoc analysis tasks including but not limited to major leasing and capital investment decisions, tenant financial performance and credit summaries, drawing insights from historical and budgeted property-level financials, etc.
Gaining an understanding of co-owner return hurdles, reporting requirements, investment goals and develop processes, tools and reporting to enhance the co-ownership relationship
Requirements:
1+ year of relevant work experience in the Real Estate industry
Degree in Accounting, Real Estate, Finance, Economics, or a related field
Exposure to asset management, leasing, investments, private equity, or development considered an asset
Strong computer literacy including Microsoft Word, Excel and PowerPoint.
A self-motivated, resourceful individual with a strong work ethic and a high level of attention to detail
Absolute integrity and a high level of professionalism to handle the confidential aspects of the work involved
Strong interpersonal, organizational, and analytical skills
#HRFA
Job Types: Full-time, Permanent
Salary: $70,000.00-$90,000.00 per year
Schedule:
Monday to Friday"
5,Data Analyst,Cushman & Wakefield,"Toronto, ON","Posted
Posted 1 day ago","Job Title

Data Analyst

Job Description Summary

Job Description

Cushman & Wakefield is committed to equity in employment and our goal is to have a diverse, inclusive, and barrier-free workplace. If you are a person with a disability and need the job posting in an alternative format or any other accessible accommodations during the hiring process, please email your request to canadarecruitment@cushwake.com. Please refer to the job title and job location when you contact us.Cushman & Wakefield s’engage à respecter l’équité en matière d’emploi. Notre objectif est d’offrir un milieu de travail diversifié, inclusif et exempt d’obstacles. Si vous êtes une personne handicapée et que vous avez besoin de recevoir l’offre d’emploi dans un autre format ou d’accéder à toute autre mesure d’adaptation au cours du processus d’embauche, veuillez soumettre votre demande par courriel à canadarecruitment@cushwake.com. Veuillez mentionner le titre de poste et le lieu de travail au moment de communiquer avec nous."
6,Statistical Analyst,Toronto Transit Commission,"Toronto, ON","Posted
Posted 2 days ago","JOB INFORMATION
Requisition ID: 6489
Number of Vacancies: 1
Department: Operations Support (20001207) - Operational Metrics and Analytics (30000530)
Salary Information: $62,062.00 - $77,513.80
Pay Scale Group: 06SA (CAN/S/H/06SA)
Employment Type: Regular
Weekly Hours: 35, Off Days: Weekends Shift: Day
Posted On: September 27, 2022
Last Day to Apply: October 3, 2022
Reports to: Manager, Metrics & Analytics

The Toronto Transit Commission (TTC) is North America's third largest transit system and has been recognized as one of the top places to work in the GTA. Guided by a forward-thinking strategic plan, the TTC's vision is to be a transit system that makes Toronto proud. The TTC's recruitment efforts are directly aligned to its mission of providing ""a reliable, efficient, and integrated bus, streetcar and subway system that draws its high standards of customer care from our rich traditions of safety, service and courtesy.""

General Accountability
Develops reports, identifies trends, and provides statistical information and analysis to the department/section. The role also creates, maintains, and ensures data integrity of all databases related to the work, and coordinates data collection, data entry, and running of database audit reports.

Key Job Functions
Perform analyses of information relevant to the work assigned to identify trends, problems, and/or potential risk areas, ensuring the validity and accuracy of data.
Develop standardized and specialized statistical reports, graphs, maps and/or charts to report results and discuss findings with departmental staff, making recommendations within established goals and objectives.
Maintain integrity of data through regular auditing and monitoring and reviewing, verifying and editing data to ensure accuracy.
Undertake research projects as required.
Receive, code, sort and input data from multiple sources on a timely basis, ensuring validity, applicability, efficiency, and accuracy.
Provide back up support and/or other support functions to the department/section.
Demonstrates behaviours that support diversity, inclusion, and a respectful work and service environment that is free from discrimination and harassment. Helps to remove barriers and accommodate employees and customers (within their area of responsibility) in accordance with TTC’s commitments and obligations under the Ontario Human Rights Code (OHRC) and Related Orders, the Accessibility for Ontarians with Disabilities Act (AODA), and TTC’s policies.
Participation in the TTC Customer Service Ambassador Program

Skills
Perform relevant mathematical calculations and statistical analyses
Maintain documentation and historical records
Use office technology, software and applications
Communicate in a variety of mediums
Apply analytical skills
Education and Experience

Completion of a post-secondary school education in Business Administration, Statistics, or the equivalent, combined with prior work experience in a similar or related job.
Additional Requirements
Comprehensive knowledge of statistical, analytical, and research methodologies
Sound knowledge of computers and software applications related to the work (i.e. Crystal Report Writer, Minitab, Microsoft Word, Excel and Access etc.) including the ability to manipulate computer databases
Ability to identify measures or indicators of database system performance, and identify the actions needed to improve or correct performance
Detail oriented, with the ability to produce quality work, meet required deadlines, and work with minimal supervision
Effective interpersonal, oral, written, presentation and problem solving skills
Website Maintenance
Experience using MicroStrategy considered an asset
Knowledge of DMS is an asset

The TTC is committed to upholding the values of equity, diversity, anti-racism and inclusion in the delivery of its services and in its workplaces. The TTC is committed to fostering a diverse workforce that is representative of the communities it serves at all levels of the organization, and supports an inclusive environment where diverse employee and community perspectives and experiences bring value to the organization. The TTC encourages applications from all applicants, including members of groups with historical and/or current barriers to equity, including but not limited to, Indigenous, Black and racialized groups, people with disabilities, women and people from the LGBTQ(IA+) community. The TTC values and supports an inclusive and barrier-free recruitment and selection process. Accommodations for applicants are available upon request throughout the recruitment and selection process, including for those who identify as having a disability. Please contact Human Resources – Talent Management at (416) 393-4570. Any information received related to an accommodation will be addressed confidentially.

The TTC’s policy prohibits relatives of current TTC employees from being hired, assigned, transferred or promoted into positions, where there is a conflict of interest due to a relationship. Should you be selected for an interview, you will be required to disclose the name, relationship and position of any relative who is a current TTC employee.

Note: All TTC Employees are required to be fully vaccinated as a precondition of employment in accordance with TTC's Mandatory Vaccination Policy

We thank all applicants for their interest but advise only those selected for an interview will be contacted."
7,Data Analyst,Sun Life,"Remote in Toronto, ON","Posted
Posted 7 days ago","You are as unique as your background, experience and point of view. Here, you’ll be encouraged, empowered and challenged to be your best self. You'll work with dynamic colleagues - experts in their fields - who are eager to share their knowledge with you. Your leaders will inspire and help you reach your potential and soar to new heights. Every day, you'll have new and exciting opportunities to make life brighter for our Clients - who are at the heart of everything we do. Discover how you can make a difference in the lives of individuals, families and communities around the world.
Job Description:
Role Summary
We are looking for an energetic, innovative and results-driven candidate to join our Group Benefits Business Development team. The Data Analyst is accountable for supporting Business Development projects and activities through:
data collection, analysis and production of various customized and adhoc reports;
identifying new data elements to provide clients with additional metrics / insights into their benefit plan performance
As a Data Analyst, you embrace continuous change and challenges, you are eager to gain cross-functional skills across different areas of data and reporting analysis, and you have a desire to expand both your business and technical knowledge.
What will you do?
Customized Reporting & Analytics (60%)
Compile information from various sources and formats, analyze and produce easy readable reports for the Account Executives, Advisors and Clients;
Integrate data from multiple reporting systems to identify benefit plan utilization trends, cost management opportunities and to support clients plan design decision making;
Provide support to Account Executives for ad hoc customized reports requested by clients. This includes identification of requirements, source of data, analysis and formatting for delivery to client or facilitating coordination of this through internal resources.
Use SQL skills to combine data, enhance reports and create easy readable results
Projects, Initiatives and System Improvement (30%)
Maintain user access and Audits in various systems
Evaluate and improve existing systems that are in place as well as collaborating with teams within the business to integrate these new systems to streamline workflow and company processes;
Partner with IT to develop and review business requirements to ensure business needs are clearly understood;
Perform detailed testing to ensure accurate implementation of new releases and/or system changes;
Provide input into process changes and updated documentation
Maintain high customer satisfaction through the delivery of timely and high quality solutions to customer problems and metrics to support this process;
Emailbox Monitor (10%)
Daily monitor three email boxes
Respond and track various stats and information
What do you need to succeed?
Education and Experience:
Post-secondary education or equivalent work experience, preferred in area of related study (Business / Computer Science)
Minimum of 1 years experience with Tableau and other Business Intelligence tools
Minimum of 1 years experience with SQL (intermediate level) to create various macros in Excel
Highly skilled at Excel, PowerPoint, Access and Word
Advanced analytical skills and advanced problem solving ability
Attention to detail and collaboration
Strong written and oral communication
Takes accountability to improve work processes and output
Delivers on commitments working independently to meet tight deadlines
Understanding of Group Benefits concepts
Strong organization skills
What's in it for you?
Great Place to Work® Certified in Canada and the US - 2022
Great Place to Work® award for Best Workplaces for #HybridWork - 2022
Named “Best Places to Work” by Glassdoor - 2021
Canada Award for Excellence for Mental Health at Work - 2021
Flex hours and Flexible hybrid work model including in-country work-from-home if you prefer. #LI-Hybrid
Competitive salary and bonus structure influenced by market range data
Pension, stock and savings programs to help build and enhance your future financial security
A friendly, collaborative, and inclusive culture
Be part of our continuous improvement journey in developing the next greatest digital enterprise experience.
Work and professional development that is united by our Purpose: to help Clients and Employees achieve lifetime financial security and live healthier lives
A common sense dress code, where you decide how you dress based on your day
The opportunity to move along a variety of career paths with amazing networking potential

The Base Pay range is for the primary location for which the job is posted. It may vary depending on the work location of the successful candidate or other factors. In addition to Base Pay, eligible Sun Life employees participate in various incentive plans, payment under which is discretionary and subject to individual and company performance. Certain sales focused roles have sales incentive plans based on individual or group sales results.
Diversity and inclusion have always been at the core of our values at Sun Life. A diverse workforce with wide perspectives and creative ideas benefits our clients, the communities where we operate and all of us as colleagues. We welcome applications from qualified individuals from all backgrounds.
Persons with disabilities who need accommodation in the application process or those needing job postings in an alternative format may e-mail a request to thebrightside@sunlife.com.
At Sun Life we strive to create a flexible work environment where our employees are empowered to do their best work. Several flexible work options are available and can be discussed throughout the selection process depending on the role requirements and individual needs.
We thank all applicants for showing an interest in this position. Only those selected for an interview will be contacted.
Salary Range:
50,100/50 100 - 81,900/81 900
Job Category:
Business Analysis - Process
Posting End Date:
02/10/2022"
8,"Associate, Data Analyst",Bell Canada,"Hybrid remote in Toronto, ON","Posted
Posted 6 days ago","Req Id: 393132

At Bell, we do more than build world-class networks, develop innovative services and create original multiplatform media content – we advance how Canadians connect with each other and the world.

If you’re ready to bring game-changing ideas to life and join a community that values, professional growth and employee wellness, we want you on the Bell team.

Bell’s Field Services team is proud to be the face of the Bell brand, performing the best installation and repair services and maintaining Bell’s network for our residential and business customers.

Name and description of the hiring department:
The Associate – Data Analyst is responsible for supporting Field Services’ Recognition programs by tracking the budget, creating accurate payout files and submitting them in time to ensure payout for winners.

The Associate ensures that service is provided to external or internal customers on a timely basis. He/She maintains and updates several tools as well as prepares statistical and tracking reports.

Roles & Responsibilities:
Management of Recognition budget and expense tracker (YTD, Qtrly, Monthly, Weekly)
Manage quarterly Recognition program payout files
Administrative support for Recognition programs
Create accurate payout files, submit by deadline to Finance, validate payout files to ensure accuracy
Build weekly, monthly and quarterly communications for recognition programs
Maintain and update the communications templates
Review and update the recognition websites to ensure accurate and up to date information

Essential Qualifications / Competencies:
EN/bilingual with high level of comfort in English verbal and written communications.
Strong knowledge of Excel

Working Conditions:
Monday to Friday, 7.5 hours a day
Working profile: Hybrid/Remote

Job location address: 76 Adelaide St., Toronto, (Ontario), 160 Elgin St. Ottawa, (Ontario)

#EmployeeReferralProgram

Adequate knowledge of French is required for positions in Quebec.

Additional Information:
Position Type: Union
Job Status: Regular - Full Time
Job Location: Canada : Ontario : Toronto || Canada : Ontario : Ottawa
Flexible work profile: Remote
Application Deadline: 10/02/2022

Please apply directly online to be considered for this role. Applications through email will not be accepted.

At Bell, we don’t just accept difference - we celebrate it. We’re committed to fostering an inclusive, equitable, and accessible workplace where every team member feels valued, respected, and supported, and has the opportunity to reach their full potential. We welcome and encourage applications from people with disabilities.

Accommodations are available on request for candidates taking part in all aspects of the selection process. For a confidential inquiry, simply email your recruiter directly or recruitment@bell.ca to make arrangements. If you have questions regarding accessible employment at Bell please email our Diversity & Inclusion Team at inclusion@bell.ca.

Created: Canada, ON, Toronto

Bell, one of Canada's Top 100 Employers."
9,Data Analyst,Manulife,"Toronto, ON","Posted
Posted 1 day ago","Are you looking for a supportive, collaborative workplace with great teams and inspiring leaders? You’ve come to the right place. We’re looking for ambitious people who share our values and want to make every day better for people around the world. If this sounds like you, and the career below sounds exciting, we’d like to hear from you.
Working Arrangement
Hybrid
Job Description
The Data Analyst is primarily accountable for the analytics, reporting, profitability, financials, modeling, forecasting and ad hoc reporting for all North America (US and Canada) retirement products (GRS, TRS, Enterprise & Signature). The Analyst is responsible for developing, maintaining and improving strategic analytics, data strategies, pricing models reporting and dashboards related to plan and product pricing, pricing profitability, sales forecasting, Inforce Repricing and Client retention. In addition, the person in this role will be accountable for crafting operational efficiencies through enhanced dashboard reporting, financial modeling and reporting via automation and technical solutions for the broader Pricing Team. The role will be critical to driving business success by combining business, sophisticated financial analytics and modeling with data-driven decision-making, strategy, vision, and advising key business partners.
Key Accountabilities
Develop and present financial analytics and reporting for internal departments and Senior Management to help understand financial performance indicators, profitability metrics and other KPIs.
Improve current reporting and move data into Power BI reports in order to better serve the report’s end users
Act independently to develop, support and analyze key strategic pricing initiatives targeted to improve profitability, growing revenue, risk management, competitiveness and growth through market, cost and profitability analysis.
Support and leverage existing reporting and develop new reporting / analytics capabilities to review and identify area of new revenue opportunities, proprietary investment opportunities, trends in profitable and unprofitable business across new and inforce business
Analyze price positioning and impact of price gaps to optimize pricing versus competitors.
Analyze financial and pricing information in relation to our overall business strategy to help resolve any related financial risks to the organization.
Assist in developing, testing, forecasting, and implementing new business sales and client retention strategies.
Help drive efficiencies by challenging the status quo and developing new tools and automated solutions to meet internal and external customer demands.
Job Requirement:
Bachelor’s degree in Data Analytics, Data Management, Data Science, or related business field.
A minimum of 5 years in workforce
Experience with financial modeling, financial reporting, data aggregation, forecasting and Power BI
Outstanding work ethic, accountability, team first mentality, positive attitude and eagerness to learn and take on new responsibilities.
Experience with forecasting, financial modeling and business planning with ability to analyze results and provide recommendations to Pricing Management, Pricing Officer and Senior Management.
Expert level in Excel, PowerBI, SQL, Python, VBA, Financial Modeling and Data Warehouse skills.
Experience performing financial analysis of costs, prices and competitive information using modeling skills in Excel, Access or other modeling tools.
High energy and hard-working individual looking to build a career within a Finance organization
Shown success working with large and sophisticated data sets, databases and information systems to derive sound business decisions.
Shown big picture thinking and have the desire to drive change that will positively impact business growth and profitability.
Must have strong analytical, communication and writing skills.
Attention to detail and strong business/client judgment is required.
Proactive strategic thinking and willingness to innovate and question the status quo.
Proven organizational, time management and prioritization skills to meet strict deadlines in a fast-paced environment.
Understand modeling and be able to advise and assist on improvements or adjustments for sophisticated scenarios.
Every career at Manulife/John Hancock provides the opportunity to learn new skills and move your career forward. Ready to make an impact somewhere? What are you waiting for? Apply today.
About John Hancock and Manulife
John Hancock is a unit of Manulife Financial Corporation, a leading international financial services group that helps people make their decisions easier and lives better. We operate primarily as John Hancock in the United States, and Manulife globally, including Canada, Asia and Europe. We provide financial advice, insurance and wealth and asset management solutions for individuals, groups and institutions. Assets under management and administration by Manulife and its subsidiaries were CAD$1.3 trillion (US$1.1 trillion) as of June 30, 2021. Manulife Financial Corporation trades as MFC on the TSX, NYSE, and PSE, and under 945 on the SEHK. Manulife can be found at manulife.com .
One of the largest life insurers in the United States, John Hancock supports more than 10 million Americans with a broad range of financial products, including life insurance , annuities , investments , 401(k) plans , and education savings plans . Additional information about John Hancock may be found at johnhancock.com .
Manulife is an Equal Opportunity Employer
At Manulife /John Hancock , we embrace our diversity. We strive to attract, develop and retain a workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention, advancement and compensation, and we administer all of our practices and programs without discrimination on the basis of race, ancestry, place of origin, colour , ethnic origin, citizenship, religion or religious beliefs, creed, sex (including pregnancy and pregnancy-related conditions), sexual orientation, genetic characteristics, veteran status, gender identity, gender expression, age, marital status, family status, disability, or any other ground protected by applicable law.
It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process . All information shared during the accommodation request process will be stored and used in a manner that is consistent with applicable laws and Manulife/John Hancock policies . To request a reasonable accommodation in the application process, contact recruitment@manulife.com ."
