sr. no,Description,skills/no-skills 
1,data analyst,1
2,data,1
3,needs,0
6,internal stakeholders,0
7,business problem formulation requirements,0
8,relevant data sources,0
9,sub processes,0
10,new kpis,1
11,new data extract requirements,1
12,data,1
13,multiple sources,0
14,high quality insights,0
15,full narrative,0
17,significant amount,0
18,collaboration,0
19,successful person,0
20,multiple critical projects,0
21,authentic workplace position overview,0
22,advanced skills,1
23,data analysis,1
24,data mapping data,1
25,data lakes,1
26,analytics data analytics aws quicksight redshift data migration,1
27,sql,1
28,etl scripting,1
29,integration,1
30,rest apis graphql nodejs aws lambda api gateway detailed duties,1
31,programming skills,1
32,various types,0
33,source data,1
34,well prepared datasets,1
35,multiple levels,0
36,granularities e g demographics customers products transactions,0
37,development,1
38,standard customized reporting dashboards,0
39,analysis,1
40,information,0
41,development,1
42,tools methodologies,1
43,statistical models,1
44,hands,0
45,development,1
46,support,0
47,launchingvarious tools,0
48,reporting methods,0
49,analytical solutions,1
50,recommendations,1
51,understanding,0
52,business strategy,0
53,stakeholder,0
54,various data owners,0
55,available data,1
56,internal sources,0
57,analytical needs summarizes statistical findings,1
58,conclusions,0
59,actionable business recommendations presents findings recommendations,0
60,simple clear way,0
61,action,0
62,appropriate algorithms,1
63,patterns,0
64,range,0
65,complex tasks,0
66,education certification post secondary degree computer science information technology,0
67,relevant degrees,0
68,curriculum,0
69,data structures,1
70,analysis minimum years,0
72,analyst minimum years,0
73,knowledge,0
74,business intelligence tools,0
75,programming languages,1
76,advanced skills,1
77,data analysis,1
78,data mapping data,1
79,data lakes,1
80,analytics data analytics aws quicksight redshift data migration,1
81,sql,1
82,etl scripting,1
83,integration,1
84,rest apis graphql nodejs aws lambda api gateway experience,1
85,data mining,1
86,quantitative analysis experience,1
87,machine learning algorithms,1
88,associated data,1
89,knowledge skills business acumen results,0
90,proactive,0
91,initiative self starter excellent written oral communication skills ability,0
92,coordinate facilitate presentations time management,0
93,highly organized collaboration,0
94,team engagement,0
95,data driven metrics driven job type full time salary,0
96,year,0
97,benefits dental care extended health care life insurance vision care schedule hour shift ability,0
98,relocate toronto,0
99,mn w reliably commute,0
100,work,0
101,moneris,0
102,joint investment,0
103,rbc,0
104,bmo bank,0
105,montreal,0
106,harris bank,0
107,december,0
108,tradition,0
109,security,0
110,strength,0
111,parent banks,0
112,canada processor,0
113,north america,0
114,commerce,0
115,future,0
116,fintech,0
117,teams,0
118,right tools,0
119,resources,0
120,every step,0
121,way,0
122,impact,0
123,canada top employers,0
124,mark,0
125,moneris,0
127,order,0
128,design,1
129,manipulate business financial data,0
130,decision making,1
131,models,1
132,business operations,0
133,business insight,0
134,business data requirements,1
135,complete reporting analytics solutions,1
136,special projects,0
137,ad hoc assignments,0
138,ability,0
139,assignments,0
140,management guidance,0
141,evaluation,0
142,current processes,0
143,guidance,0
144,recommendations,0
145,team overall performance extensive sql query skills,1
146,tableau dashboard reporting,1
147,ad hoc analytics design,1
148,development,0
149,data sources,1
150,business requirements,0
151,reporting objects,0
152,experience knowledge skills abilities undergraduate degree technical certificate,0
153,equivalent business experience,0
154,years,0
156,various data sources,0
157,relational databases,0
158,analytical findings,1
159,superior skills,0
160,sql excellent communication skills,1
161,proven ability,0
162,technical highly complex information strong time management skills ability,0
163,workload,0
164,order,0
165,quality results,0
166,timelines,0
167,strong analytical conceptual thinking skills,1
168,proven ability,0
169,data spot patterns,1
170,anomalies,0
171,insight,0
172,emphasis,0
173,wellness,0
174,free fridays,0
175,mf company wide holiday closure,0
176,thrive,0
177,hybrid remote model learning development programs,1
178,resources,0
179,unlimited free access,0
180,linkedin,0
181,eap employee assistance program educational assistance recognition program employee perk program,1
182,incredible discounts,0
183,vendors,0
184,bmo,0
185,employee inclusive groups eigs,0
186,integral part,0
187,moneris team,0
188,finance department,0
189,analytical critical thinkers,1
190,five key functions controllership financial planning analysis,0
191,corporate data analytics treasury,1
192,mission,0
193,insights,0
194,key analytics,1
195,trends,0
196,teams,0
197,right business decisions,0
198,assets,0
199,moneris,0
200,sufficient funds,0
201,operations merchant settlements,0
202,growth,0
203,careers hub,0
204,life,0
205,moneris,0
206,applications,0
207,indigenous peoples people,0
208,colour people,0
209,disabilities people,0
210,genders sexual orientation,0
211,intersectional identities,0
212,indoth job type,0
213,full time benefits company events employee assistance program,0
214,october october data analyst clinical services,0
215,cota cota,0
216,profit community based organization,0
217,adults,0
218,mental health cognitive challenges,0
219,communities,0
220,years,0
221,person centred support,0
222,individuals,0
223,inspiration,0
224,hope,0
225,meaningful change,0
226,lives,0
227,funders,0
228,partners,0
229,stakeholders,0
230,provincial health social service systems,0
231,positive change,0
232,way,0
233,services,0
234,individuals,0
235,mental health cognitive challenges role overview,0
236,dynamic innovative professional,0
237,delivery,0
238,safe recovery oriented client family,0
239,comprehensive services,0
240,manner,0
241,client,0
242,quality improvement framework,0
244,client outcomes,0
245,excellent support,0
246,clients,0
249,data analyst,1
250,data collection analysis,1
251,generation,0
252,order,0
253,various aspects,0
254,cota operations,0
255,compliance obligations,0
256,quality improvement ambitions,0
257,strategic planning,0
258,position,0
259,tracking,0
260,pertinent information,0
261,cota transition aged youth tay program,0
262,cota wide data analyst tasks,1
263,projects,0
264,senior leadership,0
265,director mccss funded services,0
266,chief executive officer summary,0
267,duties responsibilities,0
268,position,0
269,tay specific tasks,0
270,analytics,1
271,capacity,0
272,demand,0
273,transfer payment sector data collection,0
274,tay service location region,0
275,key data sets,1
276,present client profile demographics development,0
277,prioritization tool,0
278,tay clients,0
279,transition,0
280,adult services report,0
281,program flow,0
282,targets,0
283,tay client transitions,0
284,adult services,0
285,data elements,1
286,average costs,0
287,placement,0
288,placement breakdowns,0
289,modification,0
290,enhancement,0
291,cota current quality assurance measure audit tool support quality risk specialist,0
292,data,1
293,trends,1
294,serious occurrence reports,0
295,private operators,0
296,external stakeholders,0
297,quarterly tay performance dashboard report cota wide tasks,0
298,populating reports,0
299,various performance indicators,0
300,measures,0
301,data,1
302,statistical reports,1
303,funders,0
304,programmatic strategic decisions,1
305,quality improvement initiatives,0
306,organization liaising,0
307,cota electronic health record vendor,0
308,design improvements,1
309,data integrity issues,1
310,system,0
311,needs,0
312,agency,0
313,regular electronic health record data audits,0
314,data integrity,1
315,timely resolution,0
316,data inconsistences,1
317,implementation,1
318,mitigation strategies,0
319,future errors,0
320,thorough documentation,0
321,system standards practices,0
322,duties,0
323,assigned responsibilities adheres,0
324,cota policies,0
325,procedures,0
326,established applicable program guidelines procedures,0
327,practices adheres,0
328,applicable legislation,0
329,ontario human rights code complies,0
330,health safety policies,0
331,procedures,0
332,protection,0
333,workers,0
334,clients,0
335,health safety concerns,0
336,incidents,0
337,clients,0
338,team members management service providers,0
339,external stakeholders,0
340,clients,0
341,cota information,0
342,times,0
343,related delegated duties,0
344,assigned summary,0
345,qualifications knowledge,0
346,skills,0
347,understanding,0
348,health policy environment,0
349,profit sector knowledge,0
350,management information systems mis software,0
351,ontario health reporting system,0
352,ability,0
353,special studies projects,0
354,independent judgment,0
355,initiative,0
356,use,0
357,corporate productivity tools,0
358,package strong data,0
359,statistical analysis,1
360,presentation skills,1
361,proven ability,0
362,internal external stakeholders,0
363,excellent organizational communication,0
364,interpersonal skills,0
365,proven ability,0
