,0,1,2,3,4,5
0,Software Quality Engineer,Manulife,4.0,"Toronto, ON","Posted
Posted 17 days ago","Are you looking for a supportive, collaborative workplace with great teams and inspiring leaders? You’ve come to the right place. We’re looking for ambitious people who share our values and want to make every day better for people around the world. If this sounds like you, and the career below sounds exciting, we’d like to hear from you.
Working Arrangement
Hybrid
Job Description
As a Software Quality Engineer, you will :
Review and translate requirements, specifications and technical design documents to provide meaningful feedback to product developers
Build, maintain and implement automated regression and performance test scripts using Selenium, X-ray, Postman & JMeter
Analyze automation results and investigate failures
Design detailed and comprehensive test plans and cases
Perform manual functional and regression testing where automation is not applicable
Identify test KPIs for product quality and product reporting metrics
Track quality assurance metrics such as defect densities & defect frequency first time pass rate
Keep up-to-date on the latest test software and frameworks
Drive software development process to quality-centric methodologies
Identify Quality Assurance process bottlenecks and design and implement solutions
Control, update and distribute new and revised quality standards and technical changes
Prepare and deliver formal quality audit reports
Qualifications:
You will bring and continuously build upon the following skills:
Experience in software quality assurance
Sophisticated level of expertise in test automation is a must
Experience writing broad test plans and cases
Ability to identify standard processes and where they should be applied (ex. risk-based testing)
Familiarity with black box and white box testing practices
Expertise with testing / automation technologies such as: Selenium, Cucumber, X-ray, JIRA
Proven knowledge of different testing techniques i.e. UI testing, automated testing, behavior driven testing
Collaborative demeanor, willingness to work with team members; able to coach, participate in code reviews, share skills and methods
Continuously learn from both success and failure
Good organizational and problem-solving abilities that enable you to lead through creative abrasion
Good verbal and written communication; effectively articulate technical vision, possibilities, and outcomes
Experiments with new technologies and understanding how they will affect what comes next
Degree in computer science or technical field or equivalent practical experience
5 or more years’ experience supporting all testing deliverables for sophisticated enterprise implementations
What can we offer you?
A competitive salary and benefits packages.
A growth trajectory that extends upward and outward, encouraging you to follow your passions and learn new skills.
A focus on growing your career path with us.
Flexible work policies and strong work-life balance.
Professional development and leadership opportunities.
Our commitment to you
Values-first culture
We lead with our Values every day and bring them to life together.
Boundless opportunity
We create opportunities to learn and grow at every stage of your career.
Continuous innovation
We invite you to help redefine the future of financial services.
Delivering the promise of Diversity, Equity and Inclusion
We foster an inclusive workplace where everyone thrives.
Championing Corporate Citizenship
We build a business that benefits all collaborators and has a positive social and environmental impact.
Every career at Manulife/John Hancock provides the opportunity to learn new skills and move your career forward. Ready to make an impact somewhere? What are you waiting for? Apply today.
About John Hancock and Manulife
John Hancock is a unit of Manulife Financial Corporation, a leading international financial services group that helps people make their decisions easier and lives better. We operate primarily as John Hancock in the United States, and Manulife globally, including Canada, Asia and Europe. We provide financial advice, insurance and wealth and asset management solutions for individuals, groups and institutions. Assets under management and administration by Manulife and its subsidiaries were CAD$1.3 trillion (US$1.1 trillion) as of June 30, 2021. Manulife Financial Corporation trades as MFC on the TSX, NYSE, and PSE, and under 945 on the SEHK. Manulife can be found at manulife.com .
One of the largest life insurers in the United States, John Hancock supports more than 10 million Americans with a broad range of financial products, including life insurance , annuities , investments , 401(k) plans , and education savings plans . Additional information about John Hancock may be found at johnhancock.com .
Manulife is an Equal Opportunity Employer
At Manulife /John Hancock , we embrace our diversity. We strive to attract, develop and retain a workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention, advancement and compensation, and we administer all of our practices and programs without discrimination on the basis of race, ancestry, place of origin, colour , ethnic origin, citizenship, religion or religious beliefs, creed, sex (including pregnancy and pregnancy-related conditions), sexual orientation, genetic characteristics, veteran status, gender identity, gender expression, age, marital status, family status, disability, or any other ground protected by applicable law.
It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process . All information shared during the accommodation request process will be stored and used in a manner that is consistent with applicable laws and Manulife/John Hancock policies . To request a reasonable accommodation in the application process, contact recruitment@manulife.com ."
1,Junior DevOps Engineer,FDM Group Canada Inc.,404,"Toronto, ON",Hiring ongoing,"About The Role
Note: Please only submit one application, even if you are interested in more than one opportunity. A recruiter will speak to you about all options available after we review your application. Please note this role is part of our graduate program.
Our people are our passion at FDM. That’s why we make your training and career growth a priority. Since 2014, we have launched the careers of over 80 Business Analysts and Project Managers people in Canada. FDM is currently seeking numerous ambitious and driven candidates with the aptitude for IT to work as FDM consultants. We help people like you make their first step into tech every day. Are you ready to make yours?
About This Role
As a Junior DevOps Engineer you will focus on creating solutions using tools and automation to improve operations. DevOps roles can involve a myriad a projects, including: enhancing and streamlining operational processes though automation and integration; modifying existing software to correct errors, adapt to new hardware, or to improve performance; analyzing user needs and software requirements to determine feasibility of design within time and cost constraints; using scientific analysis and mathematical models to predict and measure outcome and consequences of design; and much more. Fast-track career progression is a key focus of FDM, and our program will put you on a pathway that could grow into leadership roles working within multinational organizations.
No previous qualifications or STEM Field experience is required.
Benefits
A chance to work for some of the most prestigious companies in the world.
Opportunity to earn professional certifications related to your career path.
Two-year contract in industry.
Continuous career support and upskilling from FDM.
Comprehensive and competitive benefits package.
Access to a network of mentors and like-minded individuals.
Industry recognized paid training.
About the FDM Career Development Program
FDM’s Career Development Program is a great way for students to enter the job market upon graduation. At FDM, we train the brightest talent to become the innovators of tomorrow. Technology makes the world a better place and we believe passion, drive and curiosity are what you need to have a successful career in tech. This is why we do not require any previous experience to join FDM’s Career Development Program.
FDM’s two-year program begins with training in one of our career streams in business and technology that are in high demand in the job market. We will provide you with the industry-specific technical and professional skills you need in your chosen stream, after which you will start working as an FDM Consultant with our globally recognized clients.
Upon completion of the program, many graduates see their journey with FDM culminating in an accelerated career progression, better placing them to apply for senior roles within the industry.
Diversity and Inclusion
Diversity and inclusion are at the heart of what we value as an organization. FDM is a globally recognized organization with centers across seventeen countries globally. We are proud to celebrate our employee backgrounds consisting over 90 nationalities.
FDM Group is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, national origin, age, disability, veteran status or any other status protected by federal, provincial or local laws.
#INDFDM
About You
Minimum Qualifications
Degree or Diploma (preferably in Computer Science, Engineering, Mathematics, or similar).
A natural aptitude for technology and a strong desire to expand your technical skill set.
Able to commit to work for FDM for a minimum of two years working as an FDM consultant following the training period.
Eligible to work in Canada.
Job Type: Full-time
Benefits:
Dental care
Employee assistance program
Paid time off
Relocation assistance
Vision care
Schedule:
8 hour shift
Monday to Friday
COVID-19 considerations:
We abide by local laws regarding vaccination status.
Ability to commute/relocate:
Toronto, ON: reliably commute or plan to relocate before starting work (required)"
2,Remote - Software Engineering Intern (Summer 2023),Dropbox,404,"Remote in Toronto, ON","Posted
Posted 3 days ago","Role Description As a Dropbox intern, you are part of a top-notch learning experience with engineers from all backgrounds.
You ll work side-by-side with a dedicated, experienced engineer as your mentor and have ownership of a high-impact project.
Our goal is to create a robust and impactful learning experience.
You can expect to learn how to collaborate with full-timers across the engineering, product, and design teams and receive regular and effective feedback on your work to help you continuously improve.
We ll also help you connect with fellow interns, establish mentors, and build the foundation of a strong professional network.
We will work with you to accommodate your school end and start dates culminating in a minimum of a 12-week long internship.
Responsibilities As an intern, you work side-by-side with Dropbox engineers.
Here are some examples numerous types of roles and teams that you can have an impact on: Product Engineering- Build delightful full-stack user experiences that tackle real customer needs and help drive tons of revenue for Dropbox.
As a product engineering intern you can expect to work across backend, API, desktop, mobile and web.
Infrastructure Engineering- Craft the building blocks that let us scale Dropbox to handle millions of concurrent connections, hundreds of billions of files, and hundreds of petabytes of data.
Analytics Engineering- Measure, optimize, and build one of the industry s most advanced analytics platforms to derive insights from vast amounts of data.
Our massive scale means you ll work with more data than many other analytics firms combined.
Mobile Engineering- Craft the Dropbox client experience on mobile devices by learning and applying the ins and outs of iOS and Android SDK using Objective-C, Swift, Java and C++.
You are also responsible for building the backend systems that power the mobile experiences and optimize the protocol between client and server for reliability, efficiency and speed.
Front End Engineering- Help keep our websites up and running by applying everything our application engineers do with the curiosity and interest in building fast, scalable, and responsive Dropbox experiences for the modern web, using technologies like Typescript, React, and Redux.
Site Reliability Engineering (SRE)- Build the software and automation that controls the hardware to run our products.
Work with a team who lives on the boundary of software and hardware and develop a deep understanding of the inner workings of our products, our commitment to ensuring our products work well on real-world hardware in our data centers, and serve as the first line of defense when something goes with our production infrastructure or services.
Security Engineering- People trust Dropbox to keep their data secure, and at Dropbox we rely on our security engineers to make our products safe.
You are a software engineer with a deep interest in building software that is secure yet easy to use.
Security engineers collaborate with product teams to secure our software, production infrastructure, website, desktop and mobile apps and our corporate infrastructure and devices.
Requirements Currently pursuing a BS or MS in Computer Science or related technical field involving coding (e.g., physics or mathematics), or equivalent technical experience Experience writing or shipping software as part of coursework, personal projects, internships, coding competitions or research Passion for learning, solving problems, and challenging the status quo Available for Summer 2023 full time internship (40 hours per week / 12 weeks) Total Rewards For candidates hired in Colorado, the expected salary/On-Target Earnings (OTE) rate for the role is $8,000/mo, subject to change.
Salary/OTE is just one component of Dropbox s total rewards package.
Dropbox is committed to investing in the holistic health and wellbeing of all Dropboxers and their families.
Our benefits and perks programs include: Competitive medical, dental and vision coverage Flexible Time Off/Paid Time Off, paid holidays, Company-wide PTO days, Volunteer time off Perks Allowance to be used on what matters most to you, whether that s productivity, learning & development, wellness, co-working space Additional benefits details are available upon request."
3,Junior Software Developer,ISG Search Inc,4.8,"Toronto, ON","Posted
Posted 22 days ago","Our client…

Our client is a health, disease, and research company that creates informatics platforms and complex data modalities.

What's in it for you?

Our client offers a competitive compensation & employee benefits plan. At the same time, our client empowers its teams to harness new ideas, and allows staff to unleash their imaginations to create innovative products and services. They encourage their staff to share ideas that could help the company grow, and not hold back.

Responsibilities:

Help in designing, implementing, deploying, testing, and maintaining essential software components that will aid in growing the teams informatics platforms.

Must Have:

Bachelor's degree in Computer Science or equivalent.
Software development experience in a diverse set of technology disciplines
Python programming, and a strong RESTful API development experience with either FastAPI or Flask.
Knowledge of object storage, relational (PostgreSQL) and NoSQL (Elasticsearch, Neo4j) database systems"
4,Software Engineer,Tactable Inc.,404,"Toronto, ON","Posted
Posted 30+ days ago","At Tactable, we’re building the next world-class cloud engineering firm out of Canada — servicing companies who are building/migrating products in the cloud. We develop new products end-to-end, migrate legacy solutions to the cloud, and everything in between.
We’re a remote-first company, and have been around since 2017 building products for the likes of Shopify, Walmart, Rakuten and many others.
If you're looking for a new challenge please reach out. For the right candidate this will be a fantastic opportunity to hone their skills and help drive the direction and growth of a company.
*Requirements*
- Deliver products having ownership over the entire software development life cycle
- Works in a continuous integration environment with modern cloud technology
- Ready to tackle new challenges and learn in a fast paced environment
- Thinks holistically about a problem and how to best approach it
- Collaborate with other engineers to do code review and product design
*Qualifications*
- Writing clean, modern, testable code
- Experience with Node and TypeScript
- Enjoy collaborating on an agile development team
- Experience working with a remote team
- Experience developing user interfaces with React
- Data structures, algorithms and optimization
*Work Environment & Benefits*
Here’s what you’ll get if you join Tactable:
- Competitive compensation. We want to hire the best people, and we’re ready to pay for them.
- Direct collaboration with Leadership. You will be working hands-on with the senior leadership team in implementing better ways to deliver impact for our clients and satisfaction to our employees.
- That said, the rest of the team is always ready to lend a hand—or even an ear if you just need to bounce some ideas.
- You’ll be working with a diverse team from a range of backgrounds. We work hard to make Tactable a friendly and inclusive workplace for everyone.
- We have a rapidly growing base of big-deal clients who they themselves have large amounts of customers. Your work will be seen and appreciated by many people.
- Great benefits including three weeks paid vacation (plus another week during the December holidays), health coverage, professional development, and more.
If you want to be part of a smart, nimble (to not say agile), motivated team working hard to build something great, apply to join Tactable!
We’ve been around since 2017, and are focused on building a world-class cloud engineering firm.
If that sounds like something you want to be part of, we want to hear from you.
Job Type: Full-time
Schedule:
Monday to Friday"
5,Intermediate Scrum Master (software dev),RONIN Group,404,"Toronto, ON","Posted
Posted 8 days ago","Our client in the HR services industry is looking for a contract intermediate Scrum Master with experience in leading Agile cross functional teams.
Responsibilities:
Facilitate team organization and ceremonies (sprint planning, daily scrums / stand ups , sprint / iteration reviews / demos and retrospectives)
Act and model the desired Agile mindset and behaviors to ensure successful Agile practices and principles are implemented within Agile pods.
Lead effective and efficient team meetings including ability to drive wide variety of efforts toward resolution/closure and identifying and resolving conflicts within the feature team(s)
Facilitating medium-to-high complexity Agile initiatives from initiation through release, providing oversight
Facilitate the creation and adoption of working agreements, definition of ready, done including the use of appropriate tools, standards and best practices
Ensure proper tracking of tasks and epics, and transparency of the KPI’s associated with sprint delivery
Work with the product management team to ensure there is a proper roadmap, appropriate risk management principles are applied to mitigate risks and manage dependencies
Requirements
3+ years experience as a Scrum Master delivering digital products/software development
Worked with Azure DevOps for managing work
Certifications: PMP, CSM, PSM I , or PSPO I
Job Type: Full-time
Salary: $50.00-$53.00 per hour
Schedule:
8 hour shift
Experience:
Scrum Master: 3 years (required)"
6,Software Engineer - PEY Intern,Screenovate,404,"Hybrid remote in Toronto, ON","Posted
Today","Come intern with one of the largest electrical engineering companies in the world.

Come Intern with our Programmable Solutions Group (PSG).

You will work on some aspect of the Intel Quartus compile system.

Roles and responsibilities may include to work on some of the most difficult and interesting algorithmic problems around.

Qualifications

You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Experience listed below would be obtained through a combination of your school work/classes/research and/or relevant previous job and/or internship experiences.

Minimum Requirements:
Must be pursuing a Bachelor's degree in Computer Engineering, Engineering Science, Computer Science, Math, Electrical Engineering or equivalent.
3+ months of programming experience in C, C++, or Python.

Preferred qualifications:
At least one course in digital logic

Inside this Business Group
The Programmable Solutions Group (PSG) was formed from the acquisition of Altera. As part of Intel, PSG will create market-leading programmable logic devices that deliver a wider range of capabilities than customers experience today. Combining Altera's industry-leading FPGA technology and customer support with Intel's world-class semiconductor manufacturing capabilities will enable customers to create the next generation of electronic systems with unmatched performance and power efficiency. PSG takes pride in creating an energetic and dynamic work environment that is driven by ingenuity and innovation. We believe the growth and success of our group is directly linked to the growth and satisfaction of our employees. That is why PSG is committed to a work environment that is flexible and collaborative, and allows our employees to reach their full potential.

Posting Statement
All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.
Benefits
We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, and benefit programs. Find more information about our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html

Intel is committed to a culture of accessibility. Intel provides accommodations to applicants and employees with disabilities. Find information and request accommodation here.

Working Model
This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site. In certain circumstances the work model may change to accommodate business needs."
7,Engineer - DevOps / SRE,ClearCalcs,404,Remote in Ontario,"Employer
Active 3 days ago","About the Company
ClearCalcs helps engineers and architects make faster decisions by providing everything they need to do structural design calculations. Our platform enables engineers to succeed with hundreds of simple-to-use online calculators via our easy-to-use calculation builder (think Canva for structural engineers).
ClearCalcs engineering calculators have already been used to produce tens of thousands of homes worldwide, and we are proud to be making engineering faster and more cost-effective. With an HQ in Melbourne, Australia, and remote staff around the world including; Canada, the Philippines, and the US, our team values finding a better way to help each other, and our customers.
As a high-growth company, a key perk aside from deeply motivated colleagues, excited customers, and happy investors is that we can offer growth opportunities and flexibility you cannot get anywhere else. If you want to grow your career and impact, we might be your right next step.
About the Role
Help the development team with infrastructure design
Own and improve continuous integration and delivery
Develop and maintain automated testing
Monitor and improve server performance, capacity, and reliability
Rostered on-call escalation (shared between on-call team)
Continuously think of new ideas to find a better way for how we work
DevOps Engineer Skills
Excellent understanding of AWS or equivalent Infrastructure as a Service.
Excellent problem-solving and troubleshooting skills
Process-oriented with outstanding documentation skills
Experience in security best practices and running IT operations in an always-up, always-available service
Experience with or knowledge of Agile Software Development methodologies
Hungry to learn, knowledge share, execute and grow with a small impactful team
Desired Experience
Familiarity with container orchestration services, like Docker
Experience administering and deploying development CI tools such as BuildKite
Experience with infrastructure scripting solutions such as Terraform
Experience with monitoring tools such as New Relic
BS in Computer Science, IT, IS, or equivalent area of technical study (IT experience can substitute for a BS degree)
Benefits
A welcoming, global, multi-cultural team who believes in work-life balance
Flexible Work Schedule with Remote friendly working options
Career acceleration in a high-growth environment - we'll actively help you get above and beyond your next career milestone
Participate in our employee share options plan and own the growth of a venture-backed startup
Yearly Professional Development allowance of CAD $1,400 per employee
Comprehensive Health and Insurance benefits package from day one
Extended health and dental insurance are 100% covered by ClearCalcs
Life & Disability Insurance with no medical check
100% Semi-private hospital coverage
Covered up to $500 per year for Paramedical Practitioner visits
The family included (partner, children)
Broaden horizons with travel opportunities across global offices
Competitive Salary & ESOP
Work From Home Essentials provided
2 weeks paid leave/vacation with additional personal carer's leave
Job Type: Full-time
Salary: $110,000.00-$140,000.00 per year
Benefits:
Dental care
Extended health care
Life insurance
Paid time off
Schedule:
8 hour shift"
8,Junior Software Engineer,Rose Rocket,404,"Toronto, ON","Posted
Posted 12 days ago","Rose Rocket is a market leader in Transportation Management Software. We’re a startup going after the $700+ billion dollar trucking industry, leading the shift to SaaS while revolutionizing the way trucking companies sell, service, and innovate. We are a hyper-growth company with a “more human, less corporate” culture that is built around doing work that matters, winning as a team, and celebrating success. We’d love to hear from you if you want to build this with us.

The Opportunity:
We're looking for Junior Software Engineers to help us tackle a range of exciting challenges on our Platform & Test team. Our work is focused on building new features and workflows that will expand the usability of our product to a wider range of customers. In layman’s terms, we’re building modern stuff that can reach more people. We focus on features and workflows that make the hard work of moving freight easier, and sometimes even delightful. We also focus on developing platform tools that improve the Rose Rocket developer experience and the speed at which we can build features.
Why you'll love this job:
You'll have the chance to push your ideas from inception to execution
You’ll get to work with a cutting-edge tech stack that’s always open to evolution
We're a startup doing it the right way. You’ll take on big responsibilities, but you’ll be well supported
Competitive salary and company benefits
A fun, energetic, and supportive team
A beautiful office steps from Union Station
We take our work seriously, but we don't take ourselves too seriously
Requirements:
0 - 2 years of development experience.
Some experience with a modern JavaScript framework such as React, Vue, Svelte, or Angular
Experience writing REST APIs
Some experience with SQL
Some proficiency in Version Control Systems like Git / SVN / Mercurial
Technologies we work with:
Backend: TypeScript, NestJS, Prisma, Temporal, GraphQL
Frontend: TypeScript, React, Styled Components, React Query, Module Federation
Database: PostgreSQL, Redis
Infrastructure: AWS, Docker, Kubernetes, Serverless
Bonus Points/Nice to haves:
Experience with a project management tool such as Linear, JIRA, or Asana
Golang / NodeJS
Experience contributing to open source software
Any personal projects or achievements you can demo or talk about
Don’t sweat it if you don’t have everything listed above. We believe in growth and curiosity. If you have some of these qualities and are excited about this opportunity, then we want to hear from you!

Perks & Benefits at Rose Rocket
A comprehensive benefits program + health care spending account
Parental leave top-up
Stock option plan
The latest Macbook Pro and a sweet tech equipment combo to get you started
A total of 6 weeks of paid time off annually including starting at three weeks of vacation, summer Fridays, winter holidays and personal days!
Downtown Toronto office complete with an in-house coffee shop, music room, library and a few other lifestyle perks that keep our days fun

Equal Employment Opportunity
Rose Rocket does not discriminate in hiring or terms and conditions of employment because of an individual’s race, ancestry, colour, place of origin, religion, gender, gender identity, national origin, citizenship, age, disability, sexual orientation, family status or marital status, or any other protected category recognized by provincial or federal laws.

Should you require any accommodation, please inform us and we will work with you to meet your accessibility needs. For any accessibility-related assistance, requests for information in accessible alternative formats or to report any accessibility problems, please share in your application or email careers@roserocket.com."
9,Software Developer Co-op,Intuit,4.2,"Toronto, ON","Posted
Posted 11 days ago","Overview
At Intuit, we get up every morning with our hearts beating fast, driven by the knowledge that we're transforming the world of consumer and small business finance. We’re obsessed with our customers. Because of this, we’re continually challenging and disrupting ourselves, to improve their financial lives. It’s why our products — TurboTax, Mint and QuickBooks — continue to resonate with 50 million consumers around the globe. We are a Fortune 500 fintech company, ranked as the #1 Best Workplace in Canada in 2022.

About the Team
Who said taxes are not fun? We work every day to help millions of Canadians prepare their tax return as easily as possible. And we have fun along the way. We are a talented, inspired, diverse, and very friendly team. Every day we work with teams in multiple countries across many platforms. Each presents us with unique, challenging problems to solve.

As a member of our team, you'll help build and maintain Canada’s #1 tax preparation product. Together we'll create innovative solutions that delight our customers while solving their biggest problems.

What you'll bring
You’re enrolled in a post-secondary degree related to Computer Science/Engineering
You’re a lover of all things development
You may have some experience with: Java, JavaScript, HTML, React, Python
You bring a passion for learning, exploration, & innovation
How you will lead
Code, review, & test solutions
Contribute to the design and architecture of projects, while partnering closely with a cross-functional team of Engineers.
Assist in gathering functional requirements, developing technical specifications and test plans with internal and external partners.
Exercise continuous learning, sharing knowledge, and experimenting.
Actively seek & drive technological and process innovation through data"
