,0,1,2,3,4,5
0,Data Analyst,8Twelve Mortgage,404,"Toronto, ON","Posted
Posted 8 days ago","Job Summary:
The Data Analyst will be responsible for supporting the data and reporting needs of the Brokerage. This role will involve interacting with internal stakeholders for business problem formulation, requirements gathering, identifying relevant data sources or sub-processes in which to deploy new KPIs, communicating new data extract requirements, analyzing and synthesizing data from multiple sources, and ultimately producing high-quality insights that demonstrate a full narrative. This role requires a significant amount of collaboration. The successful person will be highly adaptable and able to prioritize multiple critical projects.
We are dedicated to building a diverse, inclusive, and authentic workplace.
Position Overview:
Advanced skills in data analysis and profiling, data mapping, data modeling, data lakes, and analytics
Data Analytics: AWS Quicksight and Redshift
Data Migration: solid in SQL and ETL
Scripting and Integration: REST APIs, GraphQL, Nodejs, AWS Lambda/API Gateway
Detailed Duties:
Applies scripting/programming skills to assemble various types of source data (unstructured, semi-structured, and structured) into well-prepared datasets with multiple levels of granularities (e.g., demographics, customers, products, transactions).
Lead the development of standard and customized reporting, dashboards, and analysis of information
Lead the development of tools, methodologies, and statistical models.
Provide hands-on development and support in creating and launchingvarious tools and reporting methods.
Develops analytical solutions and makes recommendations based on an understanding of the business strategy and stakeholder needs.
Works with various data owners to discover and select available data from internal sources to fulfill analytical needs.
Summarizes statistical findings and draws conclusions, presents actionable business recommendations. Presents findings & recommendations in a simple, clear way to drive action.
Uses the appropriate algorithms to discover patterns.
Works independently on a range of complex tasks, which may include unique situations.
Job Requirments:
Education, Certification:
Post Secondary Degree – Computer Science, Information Technology or other relevant degrees with curriculum related to data structures and analysis
Minimum 5 years of experience as an analyst
Minimum 5 years of knowledge of business intelligence tools and programming languages
Advanced skills in data analysis and profiling, data mapping, data modeling, data lakes, and analytics
Data Analytics: AWS Quicksight and Redshift
Data Migration: solid in SQL and ETL
Scripting and Integration: REST APIs, GraphQL, Nodejs, AWS Lambda/API Gateway
Experience working with data mining and performing quantitative analysis
Experience with Machine Learning algorithms and associated data sets
Knowledge & Skills:
Business acumen results-oriented
Proactive/takes initiative/self-starter
Excellent written and oral communication skills
Ability to create, coordinate and facilitate presentations
Time management, highly organized
Collaboration and Team Engagement
Analytical and Problem Solving
Data-driven/Metrics Driven
Job Type: Full-time
Salary: $70,000.00-$90,000.00 per year
Benefits:
Dental care
Extended health care
Life insurance
Vision care
Schedule:
8 hour shift
Ability to commute/relocate:
Toronto, ON M2N 5W9: reliably commute or plan to relocate before starting work (required)
Education:
Bachelor's Degree (required)
Experience:
Data Analyst: 5 years (required)"
1,Data Analyst (Hybrid),Moneris,3.4,"Hybrid remote in Toronto, ON","Posted
Posted 3 days ago","Who we are
Moneris was created as a joint investment between RBC and BMO Bank of Montreal (including Harris Bank) in December 2000. By maintaining the tradition of security and strength of our parent banks, today we are Canada's #1 processor, and one of North America's largest.
We are re-imagining commerce and shaping the future of FinTech. To do that, we empower our teams to redefine what's possible, enable them with the right tools and resources, and support them every step of the way.
Connect. Impact. Grow. Join one of Canada's top employers and make your mark at Moneris.
What you'll do
This role exists in order to analyze, design, develop, manipulate, business and financial data to influence and drive decision making as well as produce models to support business operations and business insight.
You will be accountable for:
Eliciting, analyzing and understanding business and data requirements to develop complete reporting and analytics solutions.
Executing on special projects / ad-hoc assignments as required with the ability to assume assignments that are moderate- to highly-complex and multi-faceted, to be performed under management guidance.
Conducting regular, on-going evaluation of current processes and provide guidance and recommendations to enhance the team’s overall performance.
Extensive SQL query skills to produce tableau dashboard reporting as well as ad-hoc analytics.
Design and development of data sources based on business requirements for reporting objects.
What you bring
Must-have experience, knowledge, skills & abilities
Undergraduate Degree, Technical Certificate or equivalent business experience.
5-7 years of experience working with various data sources and relational databases.
Must be able to clearly articulate analytical findings.
Must have superior skills in SQL
Excellent communication skills (both written and verbal) with proven ability to communicate technical and highly complex information.
Strong time management skills ability to prioritize and manage own workload in order to deliver quality results and meet timelines.
Strong analytical and conceptual thinking skills with proven ability to interpret data, spot patterns and anomalies and provide insight.
What you get
Emphasis on Wellness - Meeting Free Fridays (MF2), company-wide holiday closure, just to name a few
Thrive in a Hybrid or Remote Model
Learning & development programs and resources - plus unlimited free access to LinkedIn Learning
EAP (Employee Assistance Program), Educational Assistance and Recognition Program
Employee perk program with incredible discounts for over 2,400 vendors and exclusive banking offers from BMO and RBC
Get involved in one or many of our Employee Inclusive Groups (EIGs) including Black Employee Network, Moneris Immigrants Society, 2SLGBTQIA+ EIG, just to name a few
Who you'll work with
As an integral part of the Moneris team, our Finance Department is made up of analytical and critical thinkers within five key functions: Controllership, Financial Planning & Analysis (FP&A), Corporate Data Analytics, Treasury. We are united by our mission to provide insights on key analytics and trends to support our teams in making the right business decisions. We are responsible for protecting the assets of Moneris and ensuring there are sufficient funds to support operations, merchant settlements, and growth.
Check out our careers hub to learn more about life at Moneris!
Note: We welcome and encourage applications from Indigenous peoples, people of colour, people with disabilities, people of all genders, sexual orientation and intersectional identities.
#INDOTH
Job Type: Full-time
Benefits:
Company events
Employee assistance program
Extended health care
RRSP match
Store discount"
2,Data Analyst (#124),Cota,3.8,"Toronto, ON","Posted
Posted 11 days ago","EXTERNAL JOB POSTING #124
Posted: 04 October 2022– 18 October 2022
Data Analyst
Clinical Services
One (1) Non-Unionized,
Permanent, Full Time Role
About Cota
Cota is an accredited, not-for-profit, community-based organization that has been supporting adults with mental health and cognitive challenges to live well within their communities for over 45 years. We provide person-centred support to help individuals find inspiration and hope in themselves, so they are better able to pursue meaningful change in their lives. We also work collaboratively with our funders, our partners and other stakeholders, across the provincial health and social service systems, to inspire positive change in the way services are delivered to individuals living with mental health and cognitive challenges.
Role Overview
We are seeking a dynamic and innovative professional. You should be passionate about supporting the delivery of safe, recovery oriented, client & family centered comprehensive services in manner that meets client needs. You will be excited to work within a quality improvement framework to identify opportunities for enhancing client outcomes as we continue to inspire and provide excellent support to our clients.
About the Team and Role Overview
The Data Analyst will be responsible for data collection, analysis and report generation in order to support various aspects of Cota’s operations, funder compliance obligations, quality improvement ambitions and strategic planning. While this position will prioritize the tracking, analysing and reporting on pertinent information pertaining specifically to Cota’s Transition Aged Youth (TAY) program, it is also expected to assist with other Cota-wide data analyst tasks and/or projects as may be requested by senior leadership, supported by the Director-MCCSS Funded Services and formally authorized by the Chief Executive Officer.
Summary of Duties:
Responsibilities of this position include but are not limited to those below:
TAY Specific Tasks such as:
Produce analytics to determine capacity and demand in the transfer payment sector
Data collection per TAY service location/region
Produce key data sets to present client profile demographics
Development of a prioritization tool to assist in prioritizing TAY clients for transition to adult services
Report on program flow through to consistently meet targets for TAY client transitions to adult services
Develop data elements to present average costs per placement and report placement breakdowns
Responsible for the modification and enhancement of Cota’s current Quality Assurance Measure Audit Tool
Support Quality and Risk Specialist to collect and report data and trends from Serious Occurrence Reports to private operators and external stakeholders
Generate quarterly TAY performance dashboard report
Other Cota-wide tasks such as:
Creating and/or populating reports related to various performance indicators and/or outcome measures
Compiling data and/or generating statistical reports for funders and/or to inform programmatic and/or strategic decisions
Supporting quality improvement initiatives of the organization
Liaising with Cota’s electronic health record vendor(s) to recommend design improvements and resolve data integrity issues, ensuring the system is meeting the needs of the Agency
Conducting regular electronic health record data audits to ensure data integrity is maintained, timely resolution of any data inconsistences and implementation of mitigation strategies to avoid future errors
Maintaining thorough documentation of system standards, practices, processes
Other duties as assigned
Other Responsibilities:
Adheres to all Cota’s policies and procedures and follows established applicable program guidelines, procedures and practices.
Adheres to all applicable legislation, in particular, the Ontario Human Rights Code
Complies with all Health and Safety policies and procedures to ensure the protection of workers and clients and that health and safety concerns or incidents are responded to promptly.
Works cooperatively, respectfully and constructively with clients, team members, management, other service providers, and external stakeholders
Ensures that confidentiality of clients, employees and Cota information is maintained at all times.
Undertakes other related and/or delegated duties, as assigned
Summary of Qualifications:
Knowledge and Skills:
Understanding of health policy environment in the not-for-profit sector
Knowledge of Management Information Systems (MIS) software and Ontario Health Reporting System (OHRS). - Demonstrated ability to carry out special studies / projects that require independent judgment and initiative.
Proficient in the use of all corporate productivity tools including O365 package
Strong data reporting, statistical analysis and presentation skills
Proven ability to work effectively with internal and external stakeholders
Excellent organizational, communication and interpersonal skills with proven ability to work effectively at an individual, organizational and systems level
Sound problem-solving skills
Strong communication skills, both verbal and written, with experience translating technical information into practical language for stakeholders with varying degrees of technical proficiency
Advanced Microsoft Office skills required
Education and Experience:
A Minimum of 2 years of experience with statistical analysis, measurement and evaluation
Successful completion of either an undergraduate degree or college diploma in computer science or related field- Health Information Management preferred, or equivalent experience
Experience working with complex information systems, data analytics, business intelligent tools
Previous experience with client statistical reporting
Other Requirements:
The majority of working hours fall within regular business hours. Flexibility is required to ensure reports are generated in accordance with due dates
· Adhere to Cota’s COVID-19 Vaccination Status Disclosure policy
Proof of Full COVID-19 Vaccination status is required as a pre-condition of employment
Application Details:
Please forward a cover letter and your current resume (in one file) on or before October 18th, 2022 by 4:00pm to Human Resources via e-mail with the reference #124.
Cota’s Values & Commitment
Cota’s core values of Hope, Respect, Dedication, Collaboration and Innovation are at centre of who we are and what we do.
As an equal opportunity employer, we remain dedicated to sustaining an experienced workforce that reflects Cota’s commitment to recognizing everyone’s contributions, respect of everyone’s dignity, unique experience and potentials.
Cota will not condone or tolerate any acts of discrimination or harassment under any of the grounds protected under human rights legislation. This commitment extends to the hiring process and throughout the course of employment.
Cota’s Accessibility Statement
Cota is committed to the principles of the Accessibility for Ontarians with Disabilities Act (AODA). As such, we strive to make our entire hiring process as accessible as possible and provide accommodations as required for applicants with disabilities. For any recruitment related accommodation needs and/or requests please contact the HR Department via e-mail.
Additional Information:
COVID-19 announcement: Due to the current pandemic, Cota may choose to conduct parts/all of the hiring process virtually. Please note that as part of maintaining an agile workforce, all Cota staff may be required to be reasonably reassigned to support the operational needs of our essential services.
Scent Free: Cota encourages a scent-free environment. Any staff or visitor attending any of our sites should please refrain from wearing fragrances and other scented personal care products (i.e. perfumes, deodorants, lotions, hairspray, etc.)
We would like to thank all those that apply; however, due to high volumes of interests, only those selected for an interview will be contacted.
Thank you, Cota’s HR Department.
Job Types: Full-time, Permanent
Salary: $36.35-$42.61 per hour
Benefits:
Company pension
Dental care
Disability insurance
Employee assistance program
Extended health care
Life insurance
RRSP match
Schedule:
8 hour shift
Education:
DCS / DEC (required)
Experience:
statistical analysis, measurement, evaluation and report: 2 years (required)
Application deadline: 2022-10-18"
3,"Analyst, Data and Analytics",Ontario Health,4.1,"Toronto, ON","Posted
Posted 30+ days ago","Ontario Health actively seeks candidates who are First Nations, Métis, Inuit, and urban Indigenous; Francophone; Black and racialized; members of 2SLGBTQIA+ communities; trans and nonbinary; and disabled.
Want to make a difference in your career? Consider this opportunity.
The Analyst is responsible for supporting the development of primary data analysis using Ontario’s health administrative databases and a concise set of evidence-based guidance with associated quality indicators that Ontario Health develops for topics identified as high priority areas for quality improvement. The Analyst will support in defining quality indicators, map them against currently available provincial datasets and provide advice around local measurement and new data collection where provincial data elements are insufficient.
The Analyst will use their research and data analytical skills and their knowledge of Ontario health care data to support the analyses of administrative and clinical data to identify areas in the Ontario health system that suggest quality gaps between current practice and optimal care. The Analyst will provide descriptive analyses on populations and service areas of interest, examine and interpret regional and institutional variations in utilization and outcomes, and compare data on practice patterns and performance with other health systems. The Data Analyst will identify and leverage the findings of relevant existing published research and combine this with their own primary data analysis.
The Analyst will be responsible for supporting the development of analytical methodology using health administrative and clinical data sources, creating internal and external-facing informational products, and deriving actionable insights to support quality improvement and performance management. As part of the role, the Analyst will work in cross-functional teams with stakeholders who have varying technical knowledge to identify analysis requirements, inform indicator development, prepare and analyze data to support other initiatives within the quality division. In collaboration with the Lead and Senior Analyst, the Analyst may be responsible for communicating information to program areas across Ontario Health and with external stakeholders, subject matter experts and organizations.
Here is what you will be doing:
Overall:
Contributes to Ontario Health’s mission to bring about meaningful improvement in health care by providing and supporting the use of analytics and evidence to identify unwarranted variation in care
Provide expert guidance on health care administrative databases in Ontario and provides advice on measurable areas for quality improvement related to Quality Standard topics or other projects
Analysis and Content Development:
Conduct the analysis of different sources of administrative and clinical data related to a broad spectrum of health care topics foci
Conduct quantitative analysis using Ontario’s Health administrative data and Intellihealth and/or CIHI portal applications
Inform and contextualize primary Ontario data analysis using peer-reviewed research and grey literature published in the topic area
Develop accessible presentations on analysis methods, results and conclusions for a wide range of audiences (including clinicians, administrators, policy makers, patients, families and caregivers)
Work with experts and available information to assess available provincial data sources in key areas and their suitability for measurement of key quality statements; identifies gaps in available data elements and measurement and options for filling these gaps at the provincial and local levels

Coordination/Collaboration:
Collaborates with Quality division colleagues:
Integrate analytics with colleagues’ work synthesizing clinical guidelines and other literature to develop quality statements
Summarize, analyze and assist with the preparation of documents and presentation material
Integrate data analysis and measurement-related content into presentations, reports and other documents
Develop other tools and products related to the quality standards and to support their implementation
Supports development of recommendations on quality indicators
Supports mapping of recommended indicators to existing data sources and make recommendations on data collection and reporting
Support calculation and reporting quality indicators selected for Ontario Health and external reporting platforms (e.g., public reporting, Quality Improvement Plans, personalized reporting vehicles)
Relationship Management:
Develops relationships with colleagues within team, across the organization and externally to understand business/operations activities and research needs, shares information, and provides assistance in understanding methodologies and results
Coordinates with internal and external stakeholders to execute project activities
Collaborates with internal colleagues to ensure projects are delivered on time and on budget
Here is what you will need to be successful:
Undergraduate degree in health services research, epidemiology, social or health sciences, biostatistics, mathematics, statistics, or another relevant discipline, Master’s preferred
3 years of experience using research analytical techniques
Experience working with statistical packages (SAS, Stata, R, etc.) is preferred
Experience with administrative and/ or clinical data in the Ontario setting
Experience working with IntelliHealth, CIHI Portal or similar health care data analysis platforms
Knowledge of health indicators (e.g., definitions, reporting periods, populations) preferred
Knowledge of data quality methodologies
Experience working with Microsoft Office software and applications, Excel, Word and Powerpoint
Knowledge and Skills
Expert knowledge of Ontario’s health care data to design and conduct analyses of administrative and clinical data to identify areas in the Ontario health system that suggest quality gaps between current best practice and optimal care
An understanding of health equity, including the social determinants of health and their impacts on health outcomes for different populations.
Experience with health equity data, patient experiences, and outcomes for specific populations would be an asset.
Strong interpersonal and relationship-building skills, with demonstrated experience engaging and building relationships and consensus among diverse stakeholders
A novel thinker who enjoys generating and exploring innovative ideas and solutions
Strong attention to detail to ensure accuracy
Demonstrated initiative and independence to take appropriate action and anticipate organizational needs
Ability to seek and weigh opinions and evidence, compromising where necessary on ways and means but not on principles or goals
Ability to deal effectively with colleagues, stakeholders, and the public from different disciplines with varying degrees of technical experience
Capacity to work effectively in a rapid-pace work environment
Ability to complete tasks, as assigned, in a timely manner with high-quality results
Employment Type: Permanent Full-Time
Paygrade and Zone: 4B
Location: Ontario (currently virtual; subject to change)
All applicants must be a resident of Ontario to be considered for roles at Ontario Health.
Internal Application Deadline Date: September 19 2022
We encourage applicants with accessibility needs to notify us if they have any accommodation needs in the application and/or interview process."
4,Jr. Data Analyst,Flex Surveys,5,"Greater Toronto Area, ON","Posted
Posted 4 days ago","We are looking for someone that can follow instructions well with a high level of attention to detail. Within your cover letter, please include your experience with Microsoft Excel.
A local market research start-up is looking for a jr research analyst, who possesses strong Excel skills, in downtown Toronto.
We are a team of 10 full-time employees + several part-time remote workers. We have built a solid customer base and are looking to expand and grow our brand in the coming years. Get in at the ground floor with room for advancement and the opportunity to develop your personal skills.
The role will involve working on projects for a wide variety of tier 1 & 2 companies across North America. We offer an array of survey consulting services and develop reporting models/frameworks to turn their data into actionable results.
Job Description Position:
Some of your contributions will include:
- Participating in program developments, questionnaire design and sample selection
- Managing online surveys for our clients
- Update clients on their survey progress
- Assist/Troubleshoot on any inquiries from survey participants
- Translating complex data and research outcomes into engaging and actionable formats for clients.
- Demonstrating exceptionally strong research design and core analytical skills
- Filter and “clean” data, and review computer reports, printouts, and performance indicators to locate and correct code problems
- Work closely with a small team to prioritize business and information needs
- Locate and define new process improvement opportunities
About you:
* University Degree (Preferably in Business, Economics, Information Management or Statistics)
* Solid working knowledge of Excel (Pivot Tables, VLooksUps, Filters, Graphing & Picture Tools, Macros, etc.)
* Strong report writing, analyzing, and attention to detail
* Detail & quality oriented
* Proven organizational skills and ability to prioritize / manage multiple tasks across simultaneous projects
* Great communication and storytelling skills, both verbal and written
* Any HTML/CSS coding skills is an added bonus
Job Types: Full-time, Permanent
Salary: $40,000.00-$45,000.00 per year
Benefits:
Dental care
Extended health care
Paid time off
Schedule:
8 hour shift
Expected start date: 2022-10-24"
5,Data Analyst,TechAheadCorp,404,"Toronto, ON","Posted
Today","The Data Analyst will be responsible for providing operational support for team of lawyers and also for working on team and enterprise initiatives related to database services.
Candidate will be responsible for cleaning, analysing, interpreting, and displaying data using different approaches and business intelligence tools is known as data analysis.
Candidate will assist business in uncovering key insights that lead to better informed and successful decision-making. It is concerned with the transformation of raw data into meaningful statistics, information, and explanations
Experience in working in a large technology enterprise
Minimum 5 years experience in excel based analysis
Min 1 years experince in writing macros
Working knowledge of Microsoft Access / sql skills
Job Type: Full-time
Salary: $47,581.28-$70,000.00 per year
Schedule:
8 hour shift
Ability to commute/relocate:
Toronto, OH 43964: Reliably commute or planning to relocate before starting work (Required)
Experience:
SQL: 1 year (Preferred)"
6,Data Analyst - Supply Chain Analytics,Metro Supply Chain,3.4,"Mississauga, ON","Posted
Posted 9 days ago","JOIN OUR TEAM

Metro Supply Chain is a strategic supply chain solutions partner for some of the world’s fastest growing and most recognizable organizations. We advance our customers’ business through innovative, real-world solutions within a culture that supports our communities, protects our environment and enables our team to thrive. Over the past 40+ years, we’ve grown into a significant operation of more than 80 sites across North America and Europe and 6,000 team members.

Embracing and driving change is critical to our success. As such we are relentlessly focused on innovating at every level of our business, investing in new technologies and products, and attracting the best talent to drive the company forward.

RESPONSIBILITIES:
Produce insightful business intelligence related to the Supply Chain Distribution Centres, Transportation teams, and Time Critical businesses globally
Strong strategic thinking and execution skills.
Effective communication style with a demonstrated ability to work with teams.
Produce insightful business analytics related to the distribution centres, transportation, contract packaging, and time critical teams.
Use historical data for decision and descriptive analytics transitioning to predictive modeling as a competitive advantage.
Using customer data to visualize, analyze, and simplify the performance picture it is not just boxes going from point A to point B.
Work proactively with key business partners to identify opportunities and to drive transformational business growth initiatives, which deliver customer and shareholder value and meet targets as agreed with company senior leadership.
Qualifications:
University/College degree in Data Science/Analytics, Engineering, or related field
Recent graduate OR 1-3 years of relevant experience with exposure to data visualization tools such as PowerBI and Tableau, building interactive reports, complex dashboards for different audiences, creating calculated KPIs or metrics by writing complex formulas
Data-mining capabilities with ability to evaluate data and derive actionable insight and make recommendations for continuous improvement
Problem solver with the ability to analyze and prioritize to meet business objectives
CORE COMPETENCIES:
A high performing and motivated individual who is:
Creative, agile, and innovative, able to manage in an environment of change and ambiguity to help shape our evolving strategy through building, launching, and managing initiatives/strategies producing results for our organization and customer.
Effective communication style with a demonstrated ability to work with teams.
Strategic thinker with strong execution skills
Problem solvers with the ability to analyze and prioritize to meet business objectives
A strong business acumen and thrives on bringing data and numbers to life with excellent analytical and visualization skills
Project management skills
Humble intelligence and confidence
Great attitude and demonstrated ability to roll-up sleeves and work with team members in a hands-on capacity
Why Join Us
The opportunity to build a career with a growing company
Medical, dental, and vision coverage for you and your family
Life and disability insurance
Wellness programs to support your family’s well-being
A Retirement Savings Program with a company match
Employee Appreciation Day
Company sponsored social events
Community volunteering
Leaders who support your development through coaching and managing opportunities
Work in a dynamic, collaborative, progressive, and high-performing team
Flexible work/life balance options
Opportunities to do challenging work & to take on progressively greater accountabilities
We are committed to building and fostering a diverse workplace where people feel included and valued. We encourage applications from all qualified individuals.
Should you require accommodation for a special ability or need during the recruitment process, please reach out to a member of our Human Resources Team. #HP"
7,Junior Analyst,RMSI Canada Inc,404,"Toronto, ON","Employer
Active 3 days ago","Responsibilities:
- Monthly report generation
- Gathering project status updates
- Data analysis
- Assisting Program Management Consultants with adhoc tasks
Skills:
- Proficient with Excel, familiarity with pivot tables, vlookups, macros / VBA
- Good communication skills
- Customer facing experience
- Takes initiatives
Job Type: Fixed term contract
Schedule:
8 hour shift"
8,Data Analyst,Toronto Foundation for Student Success,404,"Hybrid remote in York, ON","Posted
Posted 1 day ago","For the past 12 months, the Toronto Foundation for Student Success (TFSS) has been implementing a digital transformation to:
Strengthen its data management capabilities to support insight driven strategies and actions
Implement a digitally-enabled technology architecture
Provide staff with the digital tools and data to be aligned and empowered to deliver our services during and after the pandemic.
Overview of the Opportunity
This is a full-time position starting immediately. We continue to grow and with that growth comes the need to manage and analyze its data to support insight-driven strategies and actions. To fulfill that need we are looking for a data analyst to work with our Digital Transformation and Services Director, as well as management, to provide not only the right technical capabilities, including business requirements and data analysis, but also the right values and mindset to design, operate and improve the resulting digital data analysis and reporting services using an Agile-influenced approach to digital transformation.
We currently use the following cloud-based platforms to digitize its business operations and meet its data management needs:
Microsoft 365 Business Premium
Microsoft Power Apps and Dataverse platform
Microsoft Power BI
Blackbaud Raiser’s Edge and Financial Edge
What you will do
As our Data Analyst, you will report to the Digital Transformation and Services Director, to analyze business and data requirements and execute on a digital transformation plan you co-create with key stakeholders. You will work with team members to:
Create documentation for existing and new technologies implemented;
Manage Microsoft 365 Users;
Training Staff in better practices on cloud storage and document sharing;
Assess the organization’s requirements for digitally enabled processes and data analytics and reporting services;
Design the required business processes, user stories, data models, reports, dashboards and impact infographics;
Understand regulatory compliance requirements for the management of sensitive personal data;
Support the design and testing of digital solutions;
Support the project management office to schedule and prioritize user stories and solution enhancements; and
Train and support users to apply the digital solution and tools to meet their data management, reporting and analytic needs.
You will be working alongside a skilled and dedicated team with roles across the organizational functions. Core to your success will be:
Quickly understanding the organization, how it works and its strategy;
Working with stakeholders in the organization to create a set of business processes, data management and reporting requirements;
Up-to-date knowledge of relevant data modeling techniques and data analytics tools using Microsoft Dataverse platform and Power BI or equivalent low code, no code data management, reporting and analysis solutions;
The ability to analyze and tell a story with data to inform key strategic and day-to-day decision making in the organization; and
The ability to communicate your work and its value to others, to drive organization-wide engagement and excitement in what you are doing.
What you bring to the role
The position will require you to be self-directed, creative, innovative and flexible. We are looking for someone who has displayed strong leadership throughout their career to date.
You will think holistically about the organization and its data management and analytics needs to achieve our goals of rapidly identifying student needs that funders can support and providing the evidence of the impact of programs and services in meeting these needs.
It is important to us that you have done this before – meaning 1-3 years of relevant data analysis experience is required.
You are quick to pick up new technologies and tools. You ask questions and listen intently to establish organizational requirements and you consider and balance the needs of the organization and those that it serves with the most technologically sensible data management and analytics solutions.
You understand that training and organizational change is required during our digital transformation and that it is a process that requires you to bring others on the journey with you.
Qualifications and Skills
Microsoft 365 apps knowledge (SharePoint, PowerPoint, Advanced Excel) is a must. Computer literacy and fluency with systems such as Microsoft Office applications, especially data management in MS Excel, are must-haves for this position.
Writing skills: Must be able to create clear and consistent procedures to formalize business processes and to document analyses and track solutions.
Detail-oriented: It is essential to provide quality work at every stage of the process and to be organized.
Creativity: Creativity is encouraged to find solutions that will simplify the process, which will support operations, and maximize the use of tools.
Communication skills: Must be able to express ideas clearly to transmit the business requirements, operational, and functional requirements to development teams.
Awareness of emerging IT trends and directions.
Assets
Experience with Microsoft Power Apps, Dynamics 365 and Power Automate is a plus.
Working knowledge of Agile project methodology.
How to Apply
TFSS is committed to a policy of access and equity in its hiring practices. To learn more about who we are and what we do, please visit our website at www.tfss.ca.
Only candidates selected for interviews will be contacted. No phone inquiries.
Please send a cover letter and a resume to the email listed.
Job Type: Full-time
Salary: $70,000.00-$75,000.00 per year
Benefits:
Dental care
Extended health care
Vision care
Schedule:
Day shift
Monday to Friday
Application question(s):
How many years of work experience do you have using Microsoft 365 Apps?
How many years of work experience do you have using Microsoft Dynamics?
How many years of work experience do you have using Microsoft Power BI?
Do you have work experience with Microsoft Power Automate?
Work Location: Hybrid remote in York, ON"
9,Data Analyst,MineralPrices,404,"Toronto, ON","Posted
Posted 2 days ago","Looking to hire a Part-Time Data Analyst ASAP.
$15.50/ hour
This position is ideal for a student who is looking to gain experience or anyone looking for a side hustle. Not required to write any articles and no coding required. Candidate will be fully trained for the above tasks.
Job description:
1. Reports to be sent to a mailing list in MailChimp
2. Posting articles on 2 WordPress based websites (daily, no coding required)
3. Month-end price capture in excel sheets (prices of various metals already setup in the sheet)
Please look up the following websites to familiarize yourself:
https://mineralprices.com/
https://ecologyfinance.com/
https://mineralfunds.com/ (Reports are in the right-hand sidebar)
Job Type: Part-time
Salary: $15.50 per hour
Flexible Language Requirement:
French not required
Ability to commute/relocate:
Toronto, ON: reliably commute or plan to relocate before starting work (preferred)
Application deadline: 2022-10-25"
